pokemon,usage,raw_usage,real_usage,total_battles
Mr. Mime-Galar,0.000747,2304.0,0.0016478058221041994,1398223.0
Eevee,0.0002006,680.0,0.00048633157944047553,1398223.0
Poliwrath,0.0025679,7895.0,0.005646452676003756,1398223.0
Emolga,0.0009433,2951.0,0.0021105360160718284,1398223.0
Butterfree,0.0018878,6169.0,0.004412028696423961,1398223.0
Tornadus,0.0013181,3967.0,0.002837172611235833,1398223.0
Wobbuffet,0.0009466,2959.0,0.0021162575640652458,1398223.0
Cresselia,0.0053239,15789.0,0.011292190158508335,1398223.0
Tangela,0.000713,2189.0,0.0015655585696988249,1398223.0
Roggenrola,0.0001087,387.0,0.0002767798841815647,1398223.0
Absol,0.0022904,7122.0,0.0050936081011398035,1398223.0
Magnemite,0.0003594,1335.0,0.0009547833214015218,1398223.0
Sceptile,0.0077992,24256.0,0.017347733516041432,1398223.0
Linoone,0.0031848,10224.0,0.007312138335587384,1398223.0
Landorus-Therian,0.2789183,828964.0,0.5928696638519034,1398223.0
Lapras,0.0035781,11261.0,0.00805379399423411,1398223.0
Krookodile,0.0165074,50151.0,0.035867669177234246,1398223.0
Mawile,0.0005167,1639.0,0.0011722021451513814,1398223.0
Eiscue,0.0019925,6301.0,0.004506434238315348,1398223.0
Frosmoth,0.0021524,6861.0,0.004906942597854563,1398223.0
Silvally-Water,0.000206,618.0,0.00044198958249149097,1398223.0
Sharpedo,0.0030292,9318.0,0.006664173025332869,1398223.0
Kadabra,0.0001366,458.0,0.0003275586226231438,1398223.0
Blissey,0.086336,259267.0,0.1854260729511673,1398223.0
Aggron,0.0047571,14572.0,0.01042179967000972,1398223.0
Slowbro,0.0778252,231125.0,0.16529909749732338,1398223.0
Celebi,0.0019772,6112.0,0.004371262666970862,1398223.0
Rapidash-Galar,0.0011722,3619.0,0.0025882852735221776,1398223.0
Omastar,0.003169,9518.0,0.006807211725168303,1398223.0
Walrein,0.0009573,2980.0,0.0021312766275479664,1398223.0
Heliolisk,0.0040705,12345.0,0.008829063747342162,1398223.0
Silvally-Flying,0.0001069,332.0,0.0002374442417268204,1398223.0
Durant,0.0025979,7940.0,0.005678636383466729,1398223.0
Tapu Bulu,0.009565,29112.0,0.02082071314804577,1398223.0
Swirlix,0.0006093,1996.0,0.0014275262243576311,1398223.0
Araquanid,0.0066674,20016.0,0.014315313079530233,1398223.0
Piloswine,0.0003712,1128.0,0.0008067382670718476,1398223.0
Vikavolt,0.0029691,9061.0,0.006480368296044336,1398223.0
Rotom,0.000422,1288.0,0.0009211692269401948,1398223.0
Crawdaunt,0.0221849,65851.0,0.047096207114315815,1398223.0
Crobat,0.005237,16105.0,0.011518191304248322,1398223.0
