pokemon,number_of_battles,Raw count,Items_scopelens,Items_safetygoggles,Items_psychicseed,Items_petayaberry,Items_chopleberry,Items_floatstone,Items_focussash,Items_magoberry,Items_figyberry,Items_zoomlens,Items_razorclaw,Items_toxicorb,Items_wikiberry,Items_ultraball,Items_twistedspoon,Items_airballoon,Items_assaultvest,Items_lifeorb,Items_blackglasses,Items_stickybarb,Items_expertbelt,Items_aguavberry,Items_absorbbulb,Items_adrenalineorb,Items_weaknesspolicy,Items_utilityumbrella,Items_kingsrock,Items_ironball,Items_heavydutyboots,Items_powerherb,Items_choicespecs,Items_widelens,Items_rockyhelmet,Items_leftovers,Items_mentalherb,Items_choicescarf,Items_redcard,Items_quickclaw,Items_berryjuice,Items_laggingtail,Items_wiseglasses,Items_ejectpack,Items_nothing,Items_focusband,Items_enigmaberry,Items_silkscarf,Items_eviolite,Items_keeberry,Items_ringtarget,Items_ejectbutton,Items_metronome,Items_liechiberry,Items_blacksludge,Items_roomservice,Items_blunderpolicy,Items_sitrusberry,Items_choiceband,Items_lumberry,Items_iapapaberry,Items_flameorb,Items_throatspray,Items_brightpowder,Items_shellbell,Items_custapberry,Items_salacberry,Items_normalgem,Items_wacanberry,Items_leafstone,Items_oranberry,Items_flyingmemory,Items_apicotberry,Items_chestoberry,Items_grassyseed,Items_ganlonberry,Items_roseliberry,Items_heatrock,Items_sharpbeak,Items_heavyball,Items_damprock,Items_mistyseed,Items_darkmemory,Items_pechaberry,Items_cellbattery,Items_lightclay,Items_softsand,Items_whiteherb,Items_rockincense,Items_marangaberry,Items_diveball,Items_chartiberry,Items_metalcoat,Items_shucaberry,Items_blackbelt,Items_colburberry,Items_terrainextender,Items_muscleband,Items_kasibberry,Items_powerbracer,Items_machobrace,Items_smoothrock,Items_laxincense,Items_occaberry,Items_powerweight,Items_rockmemory,Items_micleberry,Items_silverpowder,Items_oddincense,Items_firestone,Items_passhoberry,Items_dragonfang,Items_firememory,Items_roseincense,Items_cheriberry,Items_jabocaberry,Items_electricseed,Items_bindingband,Items_charcoal,Items_gripclaw,Items_bugmemory,Items_beastball,Items_miracleseed,Items_bigroot,Items_lansatberry,Items_poweranklet,Items_aspearberry,Items_fullincense,Items_cobaberry,Items_mysticwater,Items_lightball,Items_energypowder,Items_poisonbarb,Items_psychicmemory,Items_electricmemory,Items_starfberry,Items_greatball,Items_babiriberry,Items_magnet,Items_yacheberry,Items_protectivepads,Items_powerbelt,Items_payapaberry,Items_shedshell,Items_blukberry,Items_poisonmemory,Items_spelltag,Items_griseousorb,Items_luminousmoss,Items_persimberry,Items_hardstone,Items_habanberry,Items_fossilizeddino,Items_fightingmemory,Items_quickball,Items_rowapberry,Items_cherishball,Items_rawstberry,Items_tamatoberry,Items_shinystone,Items_leppaberry,Items_moonstone,Items_icememory,Items_nevermeltice,Items_icestone,Items_icyrock,Items_adamantorb,Items_masterball,Items_upgrade,Items_pixieplate,Items_snowball,Items_rindoberry,Items_seaincense,Items_waveincense,Items_deepseatooth,Items_waterstone,Items_loveball,Items_chilanberry,Items_tr93,Items_kebiaberry,Items_safariball,Items_ghostmemory,Items_fairymemory,Items_destinyknot,Items_grepaberry,Items_levelball,Items_cloversweet,Items_fossilizedfish,Items_starsweet,Items_fastball,Items_berrysweet,Items_tr68,Items_powerband,Items_tangaberry,Items_dragonmemory,Items_premierball,Items_powerlens,Items_dawnstone,Items_steelmemory,Items_leek,Items_whippeddream,Items_tr47,Items_burndrive,Items_dragonscale,Items_reapercloth,Items_pinapberry,Items_qualotberry,Items_groundmemory,Items_prismscale,Items_tr84,Items_tr71,Items_galaricacuff,Items_deepseascale,Items_goldbottlecap,Items_tr66,Items_fossilizeddrake,Items_grassmemory,Items_tr09,Items_duskball,Items_electirizer,Items_kelpsyberry,Items_rustedshield,Items_watermemory,Items_quickpowder,Items_metalpowder,Items_healball,Items_thickclub,Items_ovalstone,Items_rarebone,Items_parkball,Items_tr60,Items_souldew,Items_lureball,Items_sachet,Items_protector,Items_shockdrive,Items_crackedpot,Items_tr97,Items_lustrousorb,Items_rustedsword,Items_luxuryball,Items_bottlecap,Items_hondewberry,Items_tr86,Items_magmarizer,Items_fossilizedbird,Items_tr61,Items_pokeball,Items_flowersweet,Items_tr65,Items_chippedpot,Items_dousedrive,Items_tr02,Items_tr99,Items_duskstone,Items_tr69,Items_tr91,Items_strawberrysweet,Items_sweetapple,Items_tr00,Items_dubiousdisc,Items_nestball,Items_pomegberry,Items_thunderstone,Items_tr07,Items_tr74,Items_tr43,Items_tr03,Items_tr27,Items_repeatball,Items_sportball,Items_dreamball,Items_moonball,Items_tr72,Items_tr96,Items_lovesweet,Items_tr54,Items_tr56,Items_tr92,Items_tartapple,Items_sunstone,Items_tr94,Items_tr67,Items_netball,Items_tr05,Items_tr87,Items_tr59,Items_tr36,Items_tr04,Items_tr39,Items_tr26,Items_tr33,Items_tr06,Items_tr51,Items_timerball,Items_tr16,Items_tr64,Items_chilldrive,Items_tr76
Porygon-Z,1804169,32291,0.0015244477,0.0,0.0,3.582e-07,0.1198052103,0.0,0.1228912853,0.0,2.968e-06,0.0,0.0002163408,1.1345e-06,5.1816e-06,6.8e-09,1.089e-07,7e-08,0.0009988915,0.2621387589,2.9e-09,0.0,0.0038511064,5.33983e-05,0.0,2e-10,2.07e-08,0.0,0.0040542893,0.0001111662,4.315e-07,3e-09,5.4695197935,0.0001975332,4.2738e-06,0.6467432053,0.0,7.8615950245,9.55953e-05,4e-10,0.0,5.4e-09,3e-10,3.38e-07,2.699e-07,0.0,0.0,0.1009784676,7e-10,0.0,0.0022127997,0.0,0.010304374,0.0,0.0,6.22e-08,2.43104e-05,4e-10,1.72207e-05,1.68409e-05,0.0,0.0,1.05831e-05,3.5969e-06,0.0,0.0,0.0087806577,0.0102562773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandibuzz,1804169,329572,,,,0.0022095147,0.0,0.0,0.0014576451,0.0,0.0001315948,,0.0,0.0,0.0016715046,,,0.0,0.0008282301,0.0036243808,0.0015797117,,0.0050926594,0.0011096616,,,0.212687562,,1.409e-07,,802.8941267072,4.71e-08,0.0042064342,0.0,1.9755208183,2.2641857688,1.27e-08,4.78961e-05,0.0073706273,8.1687e-06,,,0.0,0.0,0.0149243375,,,,6.30989e-05,0.0,,,0.0,,,,8.281e-07,0.0797939125,0.0261725707,0.000379106,6.722e-07,0.0,0.0,6.45e-08,0.0,0.0,0.0079789621,,0.0001522834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1774e-06,4.065e-07,2.04e-08,0.0,0.0,0.0,9.1375e-06,0.0,0.0,0.0,0.0002444228,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronzong,1804169,11078,0.0,0.0,3.488e-07,,,,0.5091621969,0.0,0.0,,,0.0022472429,1.9603e-06,,0.0,2.227e-07,0.0002995108,0.0699478735,,0.0,0.0,0.0002924863,0.0,,0.0013658878,,0.0,4.058e-07,0.0003333446,6.7431e-06,0.0013810037,,0.0009873579,0.7321773745,0.6867644606,0.0,0.0001776459,4e-10,,3.6e-09,,,2.94352e-05,,,,7.91151e-05,,0.0009402378,,,,,4.31e-08,0.0,3.1e-09,0.0003883835,9.249e-06,,0.0,0.0,,0.0,5.32371e-05,,0.0003997678,,,,,,2.265e-07,,0.0,,2e-10,,,0.4512744698,0.0,,,2.9565e-06,0.001061708,,0.0,,,,,1.63e-08,9.1e-09,0.0,1.1287e-06,0.0,0.0,0.0,8.93e-08,0.0003553671,0.0,0.0,0.0021621587,2.0953e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcarona,1804169,282466,0.0001915699,0.0004509027,,2.2721e-06,0.0,,0.9234897697,4.5706e-06,0.000208982,0.0,4.12e-07,,0.0183284043,,,0.0117627127,0.0100902188,3.9451528954,,,0.0121829853,0.0632590726,3.874e-07,5.23431e-05,0.1548523122,0.0010383607,3.2953e-06,,210.7307861595,3.42317e-05,0.2153578039,0.0017840721,0.0146090297,2.1717133664,8.61e-08,0.0251079514,0.000154302,0.0009334794,0.0,,0.01455395,9.0152e-06,0.0294242194,0.0010381189,1.9935e-06,,0.0001069301,0.0005613811,,0.0,0.0930070245,0.0,,0.0,2.469e-07,0.030263221,0.0065894002,2.0625069668,0.0054889753,0.0011104972,0.0057637092,0.002591362,0.0036758167,0.0,0.0123396276,,,,1e-10,,0.0,0.0003153808,0.0002633283,,0.0,0.0,,0.0096085041,,3.2e-09,,0.0,,0.0,,1.6293e-05,,0.0,,0.0211423388,,5.3e-09,0.0,,,0.0,,,,,1.10209e-05,,,,0.0,0.002753811,0.0,0.0,0.0412806652,0.0,0.0,0.0,0.0,0.0,0.0124622715,0.0,0.0101968282,0.0,5.80418e-05,0.0,1e-10,1.8e-09,5.79e-08,0.0,0.0,0.0,1.22427e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelgor,1804169,24650,,0.0,0.0,4.03901e-05,,,1.3649611899,1.11e-08,3.5e-09,,0.0,0.0,0.0,,,0.0,2e-10,0.05787951,,,8.316e-07,8.42e-08,9.0152e-06,3.17e-07,3.95406e-05,,1.6661e-05,,0.1037994544,,0.0166907019,0.0,0.0002031828,0.0010540457,1.4e-09,0.1757340057,0.0094651005,0.0003548374,,,0.0,,1.69214e-05,9.632e-07,0.0,0.0,,,,0.0,0.0,0.0001133956,,,0.0,0.000417496,2.1891e-06,0.0,0.0049539284,0.0,0.0889974586,0.0,0.0,0.0,6.51823e-05,0.0,,,,,,0.0,0.0,,,,,,0.0003000008,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,1.742e-07,0.0,,,0.0,,,4.08e-08,,,,,0.0,3.84e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raichu-Alola,1804169,39419,,,3.97433e-05,,,,0.0508101227,0.0,8e-08,0.0,,,0.0,,0.0001825858,0.042085406,0.0052875879,16.1067899879,,,0.000125077,1.6401e-05,0.0,,0.0,,6.9e-09,,0.0018509386,0.0,11.9108940339,0.0,3.4593e-06,0.0088035865,0.0,0.040137138,0.0,2.288e-07,0.0,,0.0364522111,,0.0004006744,,,,,0.0,0.0,0.0055855957,0.0,0.0,,,1.5412e-06,6.2e-09,3.33e-08,4.4e-09,0.0,,0.0,,,,2.66e-08,0.0,,,,,,0.0,,0.0,,,,,,,,,4.26902e-05,0.0,,,0.0,,,,,4e-10,,0.0,6.3e-09,0.0,4.1e-09,,,,3.14689e-05,,,,,,,,,,,,,,0.0010545163,,,,,,,0.0,0.0,,,,,,4.497e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0739669662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thundurus,1804169,10264,,0.0,,,0.0,,0.0120906152,0.0,5.282e-07,,,,7e-10,,,9.428e-07,0.0005092018,0.8008782816,,,1.53578e-05,1.00045e-05,,0.0004026837,1.4e-09,,0.0,,5.5676609735,0.0035391063,0.1193321424,1.32e-08,0.0,0.1546902974,0.0005778882,0.0047815795,,0.0,,,0.0006621153,0.01997612,7.95866e-05,,,,3.479e-05,,,0.0,0.0,,,,0.0,1.02308e-05,2e-10,0.0,5.99e-08,0.0,,0.0,1.4716e-06,,1.4842e-06,,0.0,,,,,0.0,,,,,,,0.0006671325,,,,,,,0.0,,,,9.0152e-06,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,1.6e-08,,,,1.08e-08,0.0058620194,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxicroak,1804169,14811,0.0,,,,,,0.0330326069,6.6572e-06,0.0,0.0,0.0,0.0,,,,0.0004968499,0.0021707032,1.1776791863,0.0,,0.0008106573,7.3316e-06,,0.0,0.0,,0.0,,0.0009106684,,0.0,1.507e-07,0.0004673026,0.0170411705,,0.0357369741,,1.91e-08,,,0.0,0.0,0.00089079,,,,,0.0,,0.0,0.0,,0.9112685259,0.0,3e-09,0.0001075512,0.0021510407,,0.0,,,0.0,0.0005293799,0.0,0.0,,,,,,,1.016e-07,4.3939e-06,,,,,,1e-10,,,,1.467e-07,,,,,,,,,0.0016926063,0.0,,,4.49872e-05,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,3.5811e-06,,,,,,,,0.0,,2.9012e-05,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiritomb,1804169,12281,,0.0,,,,,0.0144545566,0.0,1.8539e-05,0.0,,0.0297639036,1.26941e-05,,,,0.2592424741,0.0004405454,0.0018306513,3.37255e-05,0.2009471666,0.0001737462,,,0.0023792,,,2.14e-08,0.0010479916,0.0,1e-10,0.0009357607,0.0079496149,0.1453582445,0.0,0.0002619195,0.0,1.9233e-06,3.5683e-06,0.0014975787,0.0,,0.0004769198,,,,3.1803e-06,0.0258737757,,,,,0.0,,0.0,0.0014761917,0.0196738417,0.0,7.3669e-06,0.0002288847,0.0,0.000434843,0.0,0.0024718125,0.0,,,,0.0,,,0.0065485957,,,4.11733e-05,,,0.0,2.40653e-05,1.1e-09,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0006694542,,,,,,,,,,0.0158601032,,,,,0.0,,,,,,,,,,,,,,0.0005467024,0.0,4.766e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trubbish,1804169,245,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,1.2492297368,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
