pokemon,number_of_battles,Raw count,Items_petayaberry,Items_blackglasses,Items_cellbattery,Items_metalcoat,Items_chopleberry,Items_firememory,Items_rockyhelmet,Items_magoberry,Items_beastball,Items_focussash,Items_razorclaw,Items_toxicorb,Items_wikiberry,Items_chestoberry,Items_grassyseed,Items_airballoon,Items_assaultvest,Items_expertbelt,Items_lifeorb,Items_sitrusberry,Items_stickybarb,Items_floatstone,Items_mentalherb,Items_aguavberry,Items_ironball,Items_weaknesspolicy,Items_scopelens,Items_kingsrock,Items_adrenalineorb,Items_charcoal,Items_heavydutyboots,Items_powerherb,Items_choicespecs,Items_widelens,Items_nevermeltice,Items_leftovers,Items_mistyseed,Items_choicescarf,Items_redcard,Items_quickclaw,Items_berryjuice,Items_flameorb,Items_wiseglasses,Items_prismscale,Items_liechiberry,Items_nothing,Items_silkscarf,Items_electricseed,Items_eviolite,Items_ringtarget,Items_metronome,Items_zoomlens,Items_blacksludge,Items_iapapaberry,Items_blunderpolicy,Items_fullincense,Items_powerweight,Items_choiceband,Items_lumberry,Items_roomservice,Items_laggingtail,Items_throatspray,Items_brightpowder,Items_shellbell,Items_custapberry,Items_salacberry,Items_normalgem,Items_wacanberry,Items_psychicseed,Items_lansatberry,Items_pechaberry,Items_yacheberry,Items_figyberry,Items_poisonbarb,Items_rowapberry,Items_protectivepads,Items_ganlonberry,Items_roseliberry,Items_heatrock,Items_whippeddream,Items_keeberry,Items_sharpbeak,Items_damprock,Items_darkmemory,Items_enigmaberry,Items_heavyball,Items_whiteherb,Items_rockincense,Items_marangaberry,Items_safetygoggles,Items_laxincense,Items_mysticwater,Items_chartiberry,Items_goldbottlecap,Items_payapaberry,Items_blackbelt,Items_shedshell,Items_muscleband,Items_bigroot,Items_focusband,Items_cobaberry,Items_shucaberry,Items_silverpowder,Items_twistedspoon,Items_passhoberry,Items_absorbbulb,Items_starfberry,Items_roseincense,Items_ejectbutton,Items_cheriberry,Items_lightclay,Items_jabocaberry,Items_apicotberry,Items_bindingband,Items_ejectpack,Items_softsand,Items_gripclaw,Items_luminousmoss,Items_chilanberry,Items_bugmemory,Items_lovesweet,Items_oranberry,Items_miracleseed,Items_utilityumbrella,Items_babiriberry,Items_occaberry,Items_smoothrock,Items_lightball,Items_pixieplate,Items_colburberry,Items_psychicmemory,Items_terrainextender,Items_electricmemory,Items_oddincense,Items_dragonfang,Items_groundmemory,Items_pinapberry,Items_magnet,Items_energypowder,Items_fightingmemory,Items_leafstone,Items_seaincense,Items_persimberry,Items_spelltag,Items_kasibberry,Items_griseousorb,Items_ghostmemory,Items_pokeball,Items_poisonmemory,Items_flyingmemory,Items_hardstone,Items_grepaberry,Items_tr69,Items_netball,Items_rawstberry,Items_deepseascale,Items_snowball,Items_steelmemory,Items_leppaberry,Items_tr68,Items_tr64,Items_tangaberry,Items_masterball,Items_icyrock,Items_diveball,Items_rindoberry,Items_waveincense,Items_fossilizeddrake,Items_bottlecap,Items_loveball,Items_aspearberry,Items_watermemory,Items_friendball,Items_healball,Items_tr43,Items_micleberry,Items_deepseatooth,Items_poweranklet,Items_electirizer,Items_machobrace,Items_hondewberry,Items_repeatball,Items_tr20,Items_firestone,Items_tr02,Items_galaricacuff,Items_powerbelt,Items_powerbracer,Items_fairymemory,Items_cherishball,Items_rustedsword,Items_parkball,Items_powerlens,Items_tamatoberry,Items_dousedrive,Items_dragonmemory,Items_dragonscale,Items_tr55,Items_ultraball,Items_adamantorb,Items_rockmemory,Items_chippedpot,Items_tr89,Items_destinyknot,Items_cloversweet,Items_habanberry,Items_shinystone,Items_tr67,Items_kebiaberry,Items_powerband,Items_kelpsyberry,Items_tr08,Items_grassmemory,Items_leek,Items_nestball,Items_fastball,Items_tr78,Items_tr07,Items_rarebone,Items_waterstone,Items_quickpowder,Items_metalpowder,Items_fossilizedfish,Items_thickclub,Items_rustedshield,Items_blukberry,Items_tr14,Items_souldew,Items_tr00,Items_ovalstone,Items_ribbonsweet,Items_tr41,Items_icememory,Items_chilldrive,Items_icestone,Items_shockdrive,Items_lustrousorb,Items_tr06,Items_pomegberry,Items_magmarizer,Items_tr09,Items_greatball,Items_duskstone,Items_luxuryball,Items_tr17,Items_strawberrysweet,Items_sunstone,Items_upgrade,Items_tr25,Items_burndrive,Items_tr50,Items_sachet,Items_fossilizedbird,Items_moonstone,Items_tr18,Items_moonball,Items_tr91,Items_crackedpot,Items_duskball,Items_flowersweet,Items_premierball,Items_quickball,Items_qualotberry,Items_tr99,Items_tr65,Items_protector,Items_tr94,Items_tr61,Items_tr86,Items_tr36,Items_tr23,Items_tr34,Items_tr72,Items_tr71,Items_tartapple,Items_sweetapple,Items_tr05,Items_tr54,Items_thunderstone,Items_tr83,Items_tr35,Items_tr96,Items_tr38,Items_tr76,Items_dawnstone,Items_tr97,Items_berrysweet,Items_tr37,Items_tr87,Items_tr26,Items_reapercloth,Items_timerball,Items_tr15,Items_tr10,Items_sportball,Items_dubiousdisc,Items_starsweet,Items_safariball,Items_dreamball,Items_tr03,Items_tr39,Items_levelball,Items_tr70,Items_tr24,Items_tr53
Porygon-Z,1485104,23107,0.0265608422,0.0,0.0,0.0,0.000312372,0.0,0.0028082582,0.0,0.0,0.4820945651,0.0,9.23e-08,1.0451e-06,0.0,0.0,9.31755e-05,0.001934296,0.001724083,0.1105782815,0.0019703904,0.0,0.0,0.0,1.12778e-05,0.0002237899,0.0001394244,0.0073724304,0.0,0.0156739807,0.0,7.4415e-06,0.0008635628,9.3120512696,7.8e-08,2.6812e-06,0.3382033606,0.0067610651,1.1677497431,0.0,1.764e-07,0.0,0.0,0.0002802821,0.0,7.2476e-06,0.0002046998,0.0315612745,3e-10,0.0,0.0,8.8379e-06,2.179e-07,0.0,2.61e-08,1.49323e-05,0.0,0.0,1.05528e-05,2.68535e-05,0.1125716956,0.0,6.6e-09,4.05941e-05,2.1295e-06,0.0,0.0166605331,0.0001215983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandibuzz,1485104,229513,0.0,0.0286562287,0.0,,,,1.2920165479,5.11794e-05,,0.0006826151,,,0.0,,,0.0,0.0028973414,0.000430907,0.0024946606,0.1017091601,,,2.19529e-05,0.0152862269,0.0,0.3449496551,0.0,0.0,,5.975e-07,710.1594100738,1e-10,1.61306e-05,0.0,,1.9535423602,,7.85528e-05,0.0013813006,0.000207559,,0.0,0.0,,,0.0157240647,,,0.0,,0.0,,,2.52313e-05,0.0,,,0.0003654579,0.0032478721,0.0,,0.0,0.0430036768,0.0,,6.5e-09,,0.000149851,0.0,0.0,0.0,4.306e-07,0.0106893084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98128e-05,0.0,0.0,0.0,7.6e-09,0.0,4.2405e-06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxicroak,1485104,10743,,,,0.0,,,0.0001585522,0.0,,0.1064547993,,0.0,,,,0.0007464809,0.0012968894,0.0352211222,2.6593177729,0.0,,,,7.4676e-06,,7.9e-09,0.0,0.0017333426,1.4574e-06,,1.1999e-06,0.0,5.05e-08,4e-10,0.0,0.0003652461,,7.4091e-06,0.0,0.0,,,0.0,,,3.2979e-06,,,0.0,,,,0.0445277021,2.7e-09,0.0,,,0.2129626576,0.0020224005,,,,0.0,0.0,0.0,0.0264299169,,,,0.0,,,6.7e-09,0.0003724487,,9.13e-08,,,,,,,0.0,,,,,,,2e-10,,,,,0.0,4.79759e-05,0.0,0.0,0.0,4.93291e-05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcarona,1485104,291244,0.0040989175,0.0,,,,8.6e-09,0.0019990057,0.0047775893,,1.2011589282,1e-10,0.0,0.0036038996,0.0076954996,2.0994e-06,0.0169345266,0.1050474459,0.3174471034,1.304085626,0.0661884252,,,1.08474e-05,0.085534879,,0.0775003826,4.66e-07,0.0036918167,0.0,0.1212436557,304.1430496955,0.0032007673,0.2761411617,0.0129923589,,1.7473280764,0.0,0.0204467686,0.0,3.48493e-05,0.0,8.2959e-06,0.0308322821,,0.0,0.0257707646,,0.0120193871,6.23e-07,,5.281e-07,2.8e-09,,0.0025255916,0.0,0.0,,5.59564e-05,0.4315533395,,,0.0064982801,1.11552e-05,4.05741e-05,,0.0020399016,,,,,3.706e-07,,1.1652e-06,,,,0.0,0.0,0.0,,3.835e-06,,,,,0.0,0.0002224079,,0.0,0.0001430717,0.0,0.0005862431,0.0940651832,,,0.0,,0.0,0.024961504,4e-10,0.0033035273,0.0,1.0987e-06,0.0,0.2575065595,0.0012125532,0.0,0.0,0.0,0.0,2.9826e-06,0.0,0.0,1e-10,0.0043844571,0.0,0.0,0.0,0.0,0.0005660045,0.0,0.0006056062,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelgor,1485104,10396,0.0022638244,,,,,,1.74705e-05,0.0,,0.8145836701,,,0.0,0.0,1.52e-08,0.0,3e-10,4.2635e-06,0.0037557488,0.0203163772,0.0,,4.3721e-06,0.0001563169,,0.0432949232,0.0,0.0,,,0.0024300634,,0.0091350187,0.0,,0.0053547152,3.07433e-05,0.2442655978,0.0001320303,0.0,0.0,,0.0010836996,,9.64799e-05,9.47969e-05,,6e-10,0.0,,,,0.0,3.01e-08,,,,8.363e-07,9.6669e-06,,,0.1860449944,,2.9278e-06,0.0,2e-10,0.0,,4.812e-07,1e-10,,,6.7e-09,,,0.0,,,,,,,5.44e-08,,,,5.63352e-05,,,0.0,,0.0,0.0,,,0.0,,6.1719e-06,0.0,0.0,,,0.0,,,0.0,0.0473503589,,6e-10,,,,,,,,,,,0.0,,0.0,1e-10,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raichu-Alola,1485104,21728,,,6.28401e-05,,,,0.0002397384,0.0,,0.0204233937,0.0,,6.5128e-06,9.115e-06,0.0,0.0016982982,8.6994e-06,6.5664e-06,7.4330332017,0.0,,,0.0099186889,0.0002309696,,0.0,0.0,0.000645497,0.0,,0.0032275295,0.0,2.6105449001,0.0,,0.0030146113,0.0,1.0819e-06,1.284e-07,0.0,0.0,0.0,2.3121e-06,,3.92e-08,0.000184418,0.0,0.0006514202,0.0,,2e-10,,,0.0,0.0,,,0.0,0.0,,,,0.0,6.26e-08,,0.0,0.0,,0.0,,,,2.5098e-06,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,1.663e-06,,,,,0.00052187,,,,0.0,,,,,,,,,,,,,0.0,0.0,5.571e-07,1e-09,0.0003577917,6e-10,0.0,0.0,0.0,0.0,0.0513925406,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roserade,1485104,20262,0.0,,,,,,0.0011794193,0.0,,3.2035077853,,1.4e-09,0.0,,7.5021e-06,5.1e-09,0.0005751354,0.0002037661,0.1208791062,8.98431e-05,,,0.0004448602,0.0009300009,,,0.0,5.13283e-05,,,0.0004556183,0.0,0.0077465978,0.0005906018,,0.0246638142,,0.375289786,0.0,7.0676e-06,,,0.0001162123,,,0.0010514791,,,0.0,,0.0,0.0,0.1619580821,0.001940857,4.3e-09,,,3.1e-09,1.37575e-05,,,,1.0246e-06,0.0,,1.02e-08,,,,,,0.0,0.0,0.0006444921,,,,,3e-10,0.0,,,0.0,,,,1.58186e-05,,,,,,,,0.0,,0.0,,0.0034907904,,0.0,,,,,0.0,0.0,0.0009539403,0.0,,,,,,1e-10,,,0.0,,,,,0.0009677563,,,3.87844e-05,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiritomb,1485104,8811,,0.1380738353,,,,,0.0161718867,0.0,,0.0003749404,,2e-10,7.6806e-06,0.0004171445,,,0.2975110588,0.0002608554,4.1537e-05,7.46912e-05,4.43433e-05,,7.07605e-05,0.0011853134,7.0618e-06,0.0,0.0,,,,8.4948e-06,,5.199e-07,0.0001481994,,0.0404404447,0.0,0.0066909805,0.0,1.6869e-06,,0.0,0.0,,,0.0010574869,,,,,,0.000331284,0.0,0.0,,,,0.0213630575,0.0,,0.0,,0.0,0.0,2.1e-09,3.8e-09,,,,,,,2.96872e-05,,,0.0,,8.644e-07,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82098e-05,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trubbish,1485104,387,,,,,,,0.0,,,2.4e-09,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,,,0.5306514291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archeops,1485104,6459,,,,,,,1e-09,0.0001210113,,0.3386523487,0.0,7.54e-08,2.3764e-06,0.0,,,2e-10,0.0019252916,0.0001004257,0.1125564032,0.0,,0.0,5.8e-09,,1.767e-06,0.0,,0.0,,0.0163458292,0.1676706735,7e-10,2.7e-09,,1.84062e-05,,0.0378679321,0.0,0.0,,0.0,,,1.31596e-05,0.0062869127,,,,0.0025778849,,0.0,,0.0,0.0,,,0.0462466292,0.0,,0.0,,0.0,0.0,0.0,1e-10,0.0,,,,,,0.0,,,,,,,,,5.7958e-06,,,,,1.4885e-06,0.0,,,,,,,,,,0.0031814303,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.4908e-06,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
