pokemon,number_of_battles,Raw count,Items_petayaberry,Items_grepaberry,Items_scopelens,Items_chopleberry,Items_salacberry,Items_floatstone,Items_rockyhelmet,Items_magoberry,Items_figyberry,Items_focussash,Items_oranberry,Items_poisonmemory,Items_miracleseed,Items_toxicorb,Items_absorbbulb,Items_wikiberry,Items_chestoberry,Items_electricseed,Items_assaultvest,Items_laggingtail,Items_lifeorb,Items_stickybarb,Items_ganlonberry,Items_expertbelt,Items_aguavberry,Items_ironball,Items_cobaberry,Items_weaknesspolicy,Items_kingsrock,Items_adrenalineorb,Items_damprock,Items_heavydutyboots,Items_choicescarf,Items_choicespecs,Items_widelens,Items_razorclaw,Items_nevermeltice,Items_leftovers,Items_mentalherb,Items_powerherb,Items_redcard,Items_quickclaw,Items_twistedspoon,Items_wiseglasses,Items_nothing,Items_silkscarf,Items_eviolite,Items_babiriberry,Items_ringtarget,Items_metronome,Items_liechiberry,Items_blacksludge,Items_roomservice,Items_blunderpolicy,Items_laxincense,Items_magnet,Items_sitrusberry,Items_lumberry,Items_iapapaberry,Items_flameorb,Items_throatspray,Items_brightpowder,Items_shellbell,Items_custapberry,Items_choiceband,Items_normalgem,Items_wacanberry,Items_safetygoggles,Items_psychicseed,Items_lansatberry,Items_yacheberry,Items_grassyseed,Items_jabocaberry,Items_flyingmemory,Items_protectivepads,Items_sharpbeak,Items_blackglasses,Items_apicotberry,Items_rowapberry,Items_roseliberry,Items_heatrock,Items_keeberry,Items_heavyball,Items_shedshell,Items_pechaberry,Items_colburberry,Items_thickclub,Items_softsand,Items_rockmemory,Items_habanberry,Items_whiteherb,Items_rockincense,Items_marangaberry,Items_ejectbutton,Items_chartiberry,Items_lightclay,Items_cellbattery,Items_lovesweet,Items_airballoon,Items_bigroot,Items_ejectpack,Items_machobrace,Items_mistyseed,Items_starfberry,Items_focusband,Items_enigmaberry,Items_metalcoat,Items_leppaberry,Items_zoomlens,Items_powerbracer,Items_terrainextender,Items_muscleband,Items_kasibberry,Items_shucaberry,Items_mysticwater,Items_smoothrock,Items_fullincense,Items_occaberry,Items_blackbelt,Items_silverpowder,Items_burndrive,Items_berryjuice,Items_passhoberry,Items_tangaberry,Items_firememory,Items_roseincense,Items_luminousmoss,Items_cheriberry,Items_poisonbarb,Items_gripclaw,Items_bindingband,Items_charcoal,Items_bugmemory,Items_utilityumbrella,Items_masterball,Items_goldbottlecap,Items_payapaberry,Items_aspearberry,Items_persimberry,Items_hardstone,Items_fairymemory,Items_lightball,Items_electricmemory,Items_oddincense,Items_pixieplate,Items_chilanberry,Items_electirizer,Items_healball,Items_energypowder,Items_sunstone,Items_dragonfang,Items_levelball,Items_dragonmemory,Items_rawstberry,Items_darkmemory,Items_psychicmemory,Items_icestone,Items_icyrock,Items_rindoberry,Items_seaincense,Items_waveincense,Items_cloversweet,Items_waterstone,Items_diveball,Items_watermemory,Items_powerband,Items_kebiaberry,Items_ghostmemory,Items_berrysweet,Items_ultraball,Items_duskstone,Items_spelltag,Items_powerlens,Items_ribbonsweet,Items_luxuryball,Items_moonball,Items_fightingmemory,Items_fossilizedbird,Items_ovalstone,Items_beastball,Items_adamantorb,Items_poweranklet,Items_leek,Items_tr43,Items_greatball,Items_snowball,Items_firestone,Items_tr89,Items_tr75,Items_grassmemory,Items_reapercloth,Items_dragonscale,Items_leafstone,Items_icememory,Items_rustedshield,Items_groundmemory,Items_steelmemory,Items_lustrousorb,Items_chippedpot,Items_deepseatooth,Items_tr28,Items_galaricacuff,Items_griseousorb,Items_loveball,Items_thunderstone,Items_blukberry,Items_tamatoberry,Items_kelpsyberry,Items_tr99,Items_powerweight,Items_netball,Items_prismscale,Items_quickball,Items_moonstone,Items_micleberry,Items_rarebone,Items_upgrade,Items_tr42,Items_quickpowder,Items_metalpowder,Items_dousedrive,Items_sachet,Items_fossilizeddino,Items_friendball,Items_powerbelt,Items_dreamball,Items_souldew,Items_crackedpot,Items_pokeball,Items_starsweet,Items_rustedsword,Items_nestball,Items_chilldrive,Items_flowersweet,Items_pomegberry,Items_dawnstone,Items_fastball,Items_bottlecap,Items_parkball,Items_safariball,Items_premierball,Items_magmarizer,Items_protector,Items_shinystone,Items_tr90,Items_destinyknot,Items_whippeddream,Items_fossilizeddrake,Items_shockdrive,Items_sweetapple,Items_cherishball,Items_dubiousdisc,Items_tr55,Items_tr98,Items_tr03,Items_tr13,Items_tr69,Items_strawberrysweet,Items_tr68,Items_hondewberry,Items_deepseascale,Items_pinapberry,Items_tr00,Items_fossilizedfish,Items_tr56,Items_tr71,Items_tr04,Items_tr34,Items_timerball,Items_tr38,Items_qualotberry,Items_duskball,Items_tr02,Items_repeatball,Items_tr26,Items_tr87,Items_tr59,Items_tr01,Items_tr10,Items_tr14,Items_tr72,Items_tartapple,Items_tr80,Items_tr24,Items_tr08
Porygon-Z,1628081,22791,0.0,0.0,4.2978e-06,0.0002478265,0.0002717826,0.0,0.0003297634,0.0003899692,0.0,0.0316516551,0.0,1.659e-07,0.0,0.0,1e-10,2.812e-07,9.2e-09,0.0,0.0001733574,0.0,0.2189047075,3.8e-09,0.0,0.0044411343,0.001935148,6.0152e-06,0.0,3.06329e-05,6.1e-09,0.0143846415,0.0,5.41981e-05,3.4283742517,4.4695879408,0.0,0.0,0.0,0.1096158285,0.0055080561,0.0,0.0,0.0,0.0,0.009636736,3.43994e-05,0.0067794152,2.62286e-05,0.0,0.0,6.24316e-05,4e-09,9.49691e-05,0.0,0.0002570437,0.0,0.0,0.0021710454,0.0,8.0023e-05,0.0,0.0,5e-09,0.0,1.9803e-06,0.0340561634,0.0086247912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandibuzz,1628081,247986,0.0001096659,,1e-10,,1.60178e-05,,3.7013334399,0.0,0.0005484003,0.0012824869,,,0.0,,,7e-10,0.0,1.3e-09,0.0002757162,,0.0163842844,,,0.0001216513,0.0023032714,0.0,,0.2944128713,0.0,0.0,0.0,514.6003960305,0.0001116356,0.0,0.0,0.0004930636,,1.4363689148,0.0004212364,0.0,5.62309e-05,0.0003783412,,1.226e-07,0.0017389636,,4.27158e-05,,,0.0009617948,,,,0.0,,,0.0003749791,1.42e-08,4.1923e-06,0.0,0.0,0.0,0.0,3.8e-09,0.0126783016,,0.0,0.0,3.01e-08,0.0,0.0,3.6107e-06,0.0,2.14e-08,0.0,0.0,0.000158832,0.0,0.0,0.0,0.0,1.97e-08,0.0852012414,0.0,0.0,1.7e-09,0.0,0.0,0.0,0.0,0.0035214713,0.0,9.6284e-06,0.0,0.0015896723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swoobat,1628081,9350,0.0,,0.0,,0.0075960181,,,,0.0,0.1126431796,,,,0.0,,0.0,,0.0287167437,2.5821e-06,0.0,0.0028818865,0.0,1.6306e-06,3.65e-08,0.0001715164,,,0.0006263121,0.0,0.0,,0.0175641427,0.0004482537,0.0,,0.0,,0.0065329315,2.31e-08,,0.0,3e-10,2.929e-07,0.0,4.6514e-06,,7.39747e-05,,0.0,,,,,0.0,,,3.57344e-05,1.571e-07,,0.0,0.0,,3.302e-07,0.0,0.0,,,,0.3811125271,,,0.2381337322,,,,,,,,,,2.16744e-05,,,,0.0,,,,,0.0,,,0.0052667981,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronzong,1628081,10912,,,0.0,,,,0.2730729908,,6.90495e-05,0.6062061958,,,,9.4e-08,0.0,0.0004362866,0.0012530796,0.0,0.009875357,0.0078349008,0.0008498444,,0.0,0.0,7.03243e-05,0.0004546026,,0.0004138462,,,0.000641544,5.4537e-05,5.598e-07,0.0,0.0,,,1.5607968128,0.3311280845,0.0002313395,0.0,0.0,0.0,,0.0695882709,,3.168e-07,,0.0,,,,0.0026329413,,0.0,,0.0002246656,0.0004515966,1.33761e-05,0.0,,0.0,0.0,0.0,0.2958308067,9.077e-07,,9.87e-07,,,,3.18e-08,,,,,,,,,3.93274e-05,0.0,,0.0,,0.1055370742,,,,,3e-10,,,,,0.0181693597,,,0.0019871263,,,1.913e-07,,,0.0,0.0,6.984e-07,0.0,0.0,0.0,8.9e-09,0.0,0.033056126,0.0016729315,0.0,0.0,0.0,2.43208e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcarona,1628081,380267,0.0,,6.87e-06,0.0,0.0109536643,,0.0204386317,0.0247880465,0.0116107679,1.2668208578,0.0,,0.0005416042,0.0,0.0046828039,0.0022131989,0.0152240004,0.0035605639,0.0193672945,,1.4566866683,0.0,4.72e-07,0.2126905274,0.2602563291,,4.6775e-05,0.6810454158,0.0,0.0,,417.8989890845,0.0847075359,0.0549100766,4.4307e-06,0.0,,1.8335281953,0.0013108078,0.0042584149,0.0719281922,0.0001131397,1.42457e-05,0.1345673117,0.0187060346,,2.244e-07,0.0,,2.77e-07,0.0,,,0.0002392793,0.0,,0.4600136099,0.7157362887,0.0019941696,7.32876e-05,0.3273314846,0.0016900132,4.53322e-05,,0.002216727,2.09e-07,,2.55093e-05,,,,0.0030335126,,,,,0.0,0.0,,,0.0026519705,0.1878275868,0.0003389047,,0.0033683582,,,,,0.0,0.0001921059,,1.56e-08,,0.014537285,0.0,,,0.0447253211,0.0859597376,0.0,,0.0,0.0,6.31013e-05,3.8e-09,,0.0,0.0,,,,,0.0,6.15e-08,,,8.18288e-05,0.0,0.0030016294,2.09748e-05,2e-10,0.000157571,0.0,1.7e-09,9.06974e-05,0.0,0.0,2e-10,9.9e-09,0.0,0.0041628493,0.0,0.0006598329,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelgor,1628081,15305,0.0013430258,,0.0,,1.461e-07,,2.3651e-05,0.0,0.0,2.1311582462,,,,2.5755e-06,,,0.0,3.95e-08,3.629e-06,,0.0041990427,0.0,,4.1e-09,0.0,,,0.0002763202,1.6e-09,0.0,0.0002445976,0.0077772878,0.1381101469,0.0003183671,0.0,0.0,,2.04138e-05,2e-10,0.0,0.0,0.0,,0.0,0.0003027096,,,,1e-10,6.6945e-06,0.0001977703,0.0,,0.0,,,0.0012241445,4.3117e-05,2.93e-08,1.2927e-06,0.1523772985,0.0,,,0.0011954371,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,2e-10,,,0.0,0.0,,,,0.0,,1.46e-08,,0.0,,0.0003512949,0.0,,,,,,1e-10,,,,,,5.51e-08,,0.0,,,,0.0,,,,,,0.0270152072,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raichu-Alola,1628081,22192,0.0,,0.0,,8.6942e-06,,1.023e-07,0.0,0.0,0.0162079018,,,,,,0.0,0.0,0.0012828665,0.0137660133,,2.8036700359,,,0.009984988,0.0014745763,,,0.0001448216,0.0,,,0.0004119391,0.0001200159,12.5166515599,5.707e-07,0.0,,0.0032662768,6.27445e-05,0.0,0.0,1.11803e-05,2.7348e-05,1.39e-08,5.5047e-06,,0.0,,,0.0272435486,,,,,,0.0190328829,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.77e-08,,,0.0,0.0,,,4.46844e-05,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,8.80269e-05,0.0,,0.008635035,0.0,,,,,1.6e-09,,,,,,0.0009751161,,,0.0001146588,,,,,0.0,,,0.0016617583,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9.7e-08,0.0002052615,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thundurus,1628081,13345,,,,,6.2462e-06,,1.87365e-05,0.0,2e-10,0.0007882592,,,0.0,0.0,,0.0020185141,0.0171917264,0.0,0.0036343787,0.0,0.1432767728,,,0.0154999338,0.0290315145,,,4e-09,0.0,0.0,0.0001805929,1.9038662573,0.0006594195,0.044071716,0.0,,,0.0685333724,0.000167039,0.0049351018,3.84947e-05,0.0,,0.0,0.037891515,,,,0.0,0.0,,,0.0,0.0017269091,0.0,0.0006546673,0.0050718092,0.0,0.0,,,0.0,0.0,,0.0009759945,,0.0,0.0,,,0.0001543744,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,1.222e-07,,,,0.0,,0.0,,,,,,,,0.0,,,0.0786524539,,,,,,,,,,1e-10,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxicroak,1628081,14773,0.001641746,,0.0,,0.0006395353,,0.0,4.32e-08,,0.0608803915,,,,0.0,,0.0,0.0,,0.0093140946,,0.7726545877,,,0.0034135556,0.0,,,0.0,0.0,0.0,0.0,6.71205e-05,0.001929864,0.0003598431,1.8858e-06,1.348e-07,,0.0444720957,0.0,,1e-10,0.0,,,5.38624e-05,,0.0,,0.0,0.0,0.0,0.4982814923,,0.0908893291,,,2.1436e-06,0.0,0.0,,,,2.59e-08,,0.3943124453,,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0287408429,0.0,,,,,7.24e-08,,,,,,0.0,0.0,,5.2251e-05,,,,0.0,0.0,,,,,,,,0.0,,0.0001459692,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archeops,1628081,10698,,,1.018e-07,,0.0,0.0,8e-10,0.0,2.187e-07,0.069051741,,,,0.0,,0.0,,0.0,0.0,0.0,0.0006291347,,,1.4673e-06,3.53608e-05,,,2.66e-08,0.0,,,0.0029557366,0.0016695282,0.0,0.0001337678,0.0,,0.0214893294,0.0,1.0459686594,,4.96064e-05,0.0,,0.0014134857,,0.0,,0.0,6.354e-06,0.0,,,,,,0.0068050027,0.0,2.0634e-06,,,0.0,,,0.0201022394,0.0,0.0,,,0.0,0.0014293056,0.0352559791,,,0.0,4.86e-08,,,,,,,,,,,,,,,3.32e-08,8.1228e-06,,1e-10,,,,,,,,,,,,,,,0.0011838923,,,0.0166189005,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,8.2109e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
