pokemon,number_of_battles,Raw count,Items_scopelens,Items_safetygoggles,Items_petayaberry,Items_mentalherb,Items_zoomlens,Items_rockyhelmet,Items_lightclay,Items_figyberry,Items_nothing,Items_lumberry,Items_razorclaw,Items_blacksludge,Items_wikiberry,Items_spelltag,Items_nevermeltice,Items_grassyseed,Items_airballoon,Items_assaultvest,Items_expertbelt,Items_lifeorb,Items_stickybarb,Items_apicotberry,Items_chopleberry,Items_aguavberry,Items_adrenalineorb,Items_magoberry,Items_heatrock,Items_choiceband,Items_kingsrock,Items_ironball,Items_damprock,Items_heavydutyboots,Items_powerherb,Items_choicespecs,Items_widelens,Items_leftovers,Items_choicescarf,Items_redcard,Items_quickclaw,Items_flameorb,Items_wiseglasses,Items_focussash,Items_focusband,Items_silkscarf,Items_eviolite,Items_whiteherb,Items_ringtarget,Items_pokeball,Items_metronome,Items_liechiberry,Items_iapapaberry,Items_blunderpolicy,Items_bugmemory,Items_magnet,Items_sitrusberry,Items_weaknesspolicy,Items_roomservice,Items_laggingtail,Items_throatspray,Items_brightpowder,Items_shellbell,Items_powerlens,Items_salacberry,Items_normalgem,Items_wacanberry,Items_metalcoat,Items_psychicseed,Items_crackedpot,Items_toxicorb,Items_chestoberry,Items_protectivepads,Items_rockincense,Items_blackglasses,Items_muscleband,Items_roseliberry,Items_ejectpack,Items_whippeddream,Items_sharpbeak,Items_heavyball,Items_berryjuice,Items_keeberry,Items_marangaberry,Items_ejectbutton,Items_chartiberry,Items_rockmemory,Items_cheriberry,Items_machobrace,Items_charcoal,Items_shucaberry,Items_oranberry,Items_colburberry,Items_electricseed,Items_terrainextender,Items_kasibberry,Items_electricmemory,Items_oddincense,Items_cellbattery,Items_enigmaberry,Items_steelmemory,Items_smoothrock,Items_fullincense,Items_occaberry,Items_custapberry,Items_silverpowder,Items_twistedspoon,Items_firestone,Items_passhoberry,Items_absorbbulb,Items_shedshell,Items_starfberry,Items_firememory,Items_laxincense,Items_protector,Items_poisonbarb,Items_bindingband,Items_bigroot,Items_gripclaw,Items_pechaberry,Items_miracleseed,Items_hardstone,Items_ganlonberry,Items_utilityumbrella,Items_lansatberry,Items_cobaberry,Items_blackbelt,Items_mistyseed,Items_mysticwater,Items_floatstone,Items_pixieplate,Items_lightball,Items_waveincense,Items_electirizer,Items_masterball,Items_yacheberry,Items_rawstberry,Items_poweranklet,Items_pinapberry,Items_payapaberry,Items_micleberry,Items_dragonfang,Items_persimberry,Items_flyingmemory,Items_icyrock,Items_safariball,Items_burndrive,Items_fightingmemory,Items_sachet,Items_darkmemory,Items_snowball,Items_jabocaberry,Items_leppaberry,Items_babiriberry,Items_icememory,Items_rindoberry,Items_seaincense,Items_lustrousorb,Items_ghostmemory,Items_reapercloth,Items_fairymemory,Items_ultraball,Items_rowapberry,Items_powerweight,Items_grassmemory,Items_tr62,Items_waterstone,Items_chilanberry,Items_luminousmoss,Items_chippedpot,Items_tangaberry,Items_leafstone,Items_tr15,Items_powerband,Items_kelpsyberry,Items_energypowder,Items_healball,Items_moonstone,Items_dragonmemory,Items_blukberry,Items_watermemory,Items_fastball,Items_beastball,Items_leek,Items_powerbracer,Items_habanberry,Items_ovalstone,Items_softsand,Items_poisonmemory,Items_psychicmemory,Items_prismscale,Items_dawnstone,Items_dragonscale,Items_fossilizedbird,Items_dreamball,Items_repeatball,Items_greatball,Items_deepseascale,Items_sweetapple,Items_groundmemory,Items_tr38,Items_tr30,Items_adamantorb,Items_premierball,Items_tr71,Items_destinyknot,Items_tartapple,Items_galaricacuff,Items_tr98,Items_kebiaberry,Items_upgrade,Items_hondewberry,Items_roseincense,Items_luxuryball,Items_tr65,Items_tr10,Items_flowersweet,Items_quickpowder,Items_metalpowder,Items_loveball,Items_tr49,Items_thickclub,Items_rarebone,Items_tr36,Items_rustedsword,Items_souldew,Items_tr67,Items_icestone,Items_sunstone,Items_tr33,Items_grepaberry,Items_rustedshield,Items_shockdrive,Items_netball,Items_lureball,Items_quickball,Items_tr02,Items_berrysweet,Items_tr50,Items_diveball,Items_thunderstone,Items_tr03,Items_deepseatooth,Items_tr88,Items_duskstone,Items_aspearberry,Items_moonball,Items_cloversweet,Items_tr93,Items_goldbottlecap,Items_tr11,Items_tr64,Items_tr06,Items_tr40,Items_timerball,Items_tr28,Items_friendball,Items_griseousorb,Items_tr58,Items_shinystone,Items_fossilizeddino,Items_nestball,Items_tr68,Items_qualotberry,Items_tr00,Items_chilldrive,Items_lovesweet,Items_tamatoberry,Items_dousedrive,Items_powerbelt,Items_tr20,Items_tr66,Items_tr87,Items_ribbonsweet,Items_parkball,Items_tr97,Items_sportball,Items_starsweet,Items_tr43,Items_tr39,Items_fossilizeddrake,Items_bottlecap,Items_tr44,Items_duskball,Items_tr04,Items_cherishball,Items_tr05,Items_tr18,Items_tr53,Items_tr60,Items_tr47,Items_tr99,Items_tr08
Porygon-Z,1398223,17964,0.0,0.0,1.2e-08,1.08e-08,0.0,0.0002025456,0.0002815151,4.9e-09,1.2893e-06,0.0,0.0,0.0,1e-10,0.0,1.70581e-05,0.0,0.0002402313,0.0049188445,0.0209224326,0.167479958,0.0,2.1999e-06,0.0121886552,6.4e-09,0.0031177472,0.0,0.0,3.421e-07,0.0,0.0291676399,0.0,0.00040355,3.41572e-05,0.7212671774,0.0,0.0246956121,0.9810019143,0.0,0.0,0.000245106,9.8093e-05,0.0589530247,0.0,0.1250735461,0.0001799539,0.0,0.0,6.835e-07,3.4542e-06,0.0,5.08918e-05,2.4134473515,0.0,0.0,0.0,0.0003807903,0.0,0.0,1.26e-08,0.0,0.0,0.0,2.76452e-05,0.0979478242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandibuzz,1398223,205185,,8.63496e-05,0.0,0.0011638137,,4.7808695325,,0.0083225702,0.0264333796,9.0865e-06,0.0,,1.694e-07,,,0.0,,0.0012451628,2.33124e-05,0.0478307379,,,,0.0059427498,,0.0,0.0,0.0005468255,0.0,,,634.6702108882,6.1e-09,0.0,0.0,1.04036921,0.0001622481,0.0002523949,0.0,0.0,0.0,0.0002780287,0.0,,9.93e-08,0.0104688486,,,0.0029045385,,2.5129e-06,0.0,,,0.006777801,0.1239485558,,,,0.0003457518,0.0,,5e-10,,5.41421e-05,0.0004209454,0.0,0.0,0.0,0.0,0.0,0.0,0.0014906061,0.0,0.0005388393,0.0,0.0,3.77114e-05,0.0,0.0,0.0,0.0065041747,0.0,0.0,9.33485e-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronzong,1398223,10176,,1.7126e-06,,0.0459949492,,0.0103367784,0.009801567,0.0,3.6173e-05,2.7946e-06,,0.0,0.0034382161,,,,0.0,9.5313e-06,6.101e-07,0.0001273938,0.0,,0.0,8.13171e-05,,0.0,4.6773e-06,8.6885e-06,,3.2347e-06,0.0038046818,0.0027985844,1.64e-08,0.0,4.98549e-05,0.5105315829,1.6e-08,1.86e-08,,0.0,,0.4249065923,,0.0,0.0,0.0,0.0,,4.179e-07,,0.0011111608,,,0.0,0.0142622335,0.0006117331,0.0015062291,0.0069423917,,0.0,0.0,,0.0,1.547e-07,,8.736e-07,,,3.56074e-05,3.98389e-05,,,,,,,,,,0.0,0.0,,0.0,,,,0.0362441394,0.0001277963,0.0,0.0,0.2228603614,0.0,0.0,0.0209912041,0.0,0.0,3.58e-08,0.0,0.0,0.0,7.574e-07,6.0041e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcarona,1398223,381177,0.0042637316,0.000794299,6.2e-09,0.0005954853,,0.0116637188,,0.0011858996,0.0508667227,0.2699560623,0.0,,0.044697888,,,0.0075771626,0.0022075809,0.0362327848,0.0583375,1.580822353,0.0,0.0,,0.0279206581,0.0032536321,0.0003977676,0.0003779057,2.37425e-05,0.006126556,,,832.8249610861,0.0009499452,0.2151508319,0.0027444039,3.0934197557,0.1166794396,0.0002608111,0.0021789631,0.0043120019,0.4877638839,4.0386344407,0.0013280417,,0.0017917664,2.573e-07,,0.0,0.0011545792,,0.6343392958,0.0004463275,0.0,,0.9966866059,0.1856370935,0.0,,0.0002257782,0.0010480254,3.1889e-06,,6.271e-05,0.0,,,0.0,,,0.1289640144,0.0,,,0.0,,0.0,,,0.2740952022,1e-10,0.113476282,2.93e-08,3.68178e-05,0.0025013094,,0.0,,0.0358203322,0.0,0.0,,0.0896846214,,,,,,,,,,0.0,0.0,0.0020017632,0.0001477746,0.0,0.009047271,0.0010195009,0.0,0.0,4.318e-07,0.0,0.0,0.0,0.0,0.0005702248,0.0006034117,0.0016605155,3.34135e-05,0.0,0.0,0.0,0.0,5.26e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelgor,1398223,11078,0.0,,4.27439e-05,2.82866e-05,,9.8747e-05,,,0.0032137232,0.0,,,0.0,,,2.37364e-05,0.0,1.2e-09,0.0001748903,0.0004595781,0.0,,,0.0001002688,,0.0,,0.0006781211,0.0,,1.72e-08,0.0068298386,0.0,0.0118380055,,0.0009928019,0.0911297867,0.0,0.0,,0.0,0.6239088429,0.0013122294,,,2.43172e-05,,,0.0,0.0,0.0,0.0,,,0.0001629721,2.75e-08,,,0.0441359673,0.0,,,0.0,0.00020126,,,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,0.0,3.9631e-06,,1.44797e-05,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,4.07e-08,,,,,,,0.0,0.0,0.0006968609,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raichu-Alola,1398223,19252,5.5376e-05,,0.0011403615,0.0003368532,,0.0027625397,0.0004367448,7.518e-07,0.0001608856,0.0,0.0,,0.0,,,,0.3442499566,3.78523e-05,0.544038555,2.9368671006,,,,0.0001226309,,0.0,,6e-10,4.2087e-06,,0.0,0.6818309953,0.0,3.5223930967,0.0060095539,0.0003064458,0.0013224842,0.0,0.0,,3.29e-07,0.0015051185,,,0.0,,,,1.601e-07,4.82299e-05,1.94771e-05,0.0005952698,,0.0091507468,0.0016730177,0.0002028095,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,1.8e-09,,,,,,,,,0.0,,7.57433e-05,0.0022454058,2.841e-07,,0.0,2.879e-07,0.0,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,0.0,0.0,0.0,8.6893e-06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thundurus,1398223,9843,,0.0,2.78993e-05,3.50694e-05,0.0,1.84743e-05,,0.0,1.7569e-06,0.0,,0.0,0.0018195692,,,,,0.0023461477,0.0117063414,0.5814507253,,,,0.0005277793,1e-10,,,0.0565965174,,0.0,0.0484823375,1.0613512144,8.9e-09,0.0294962398,3.02787e-05,1.344411892,0.000198769,7.498e-07,0.0,,0.0,0.0698653077,,,,0.0,,,0.0,,0.0,0.0,,0.0003577958,6.3404e-06,0.0002084633,,1.3977e-06,,1.07e-08,1.85117e-05,,1.479e-07,,,,,,0.0,0.0,1.611e-07,,,0.0,,,,0.0,,,,0.0,,0.0003833927,,,,,,,,0.0001338025,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,9.7182e-06,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxicroak,1398223,13407,0.0,0.0,0.0,0.0,0.0,1.7501e-06,,0.0,0.0001531114,1e-10,1.8e-09,0.2212278328,0.0,,,,0.2111460222,0.0044329758,0.0374789899,0.2062579533,,,,0.0347901114,0.0,1.1e-09,,0.0164725738,0.0,,0.0,7.73874e-05,8e-10,0.0,0.0003179863,0.0484664379,0.0511057227,,1e-10,0.0,,0.0979425787,0.0,,,0.0,,,4.1555e-06,,0.0,2.50055e-05,,0.0,1e-10,0.0001688327,,,,0.0,0.0021139578,,0.0,0.0,,,,,0.0,,,,4.4038e-06,3.5658e-06,,,0.0,,,0.0,,,0.0,,,,,0.0,0.0341492921,,,,,,,,0.0,,,,,,,,,,,9.2e-09,,,,,,6.487e-07,,0.0,,,,,,0.0,,0.0,0.0,,,,,0.0,,,,,,,,0.0,1e-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archeops,1398223,8461,0.0,,,0.0004096715,0.0,0.0013541363,,1.6435e-06,0.0483180444,,0.0,,0.0,,,,,0.0,1.8775e-06,0.1241767006,,,,0.0445754382,0.0,0.0,,0.0484816818,,,,0.0118791323,1.4833951484,0.0134069916,9.0994e-06,0.0229675118,0.0015117617,0.0,2.33e-08,,,0.0342745429,,,,2.70513e-05,0.0103207983,,,0.0,0.0,0.0,,,0.0006070083,0.0,,,,,4.182e-07,,,,1.55e-08,,,,0.0,2.385e-07,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,,,1e-10,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2.4865e-06,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snorlax,1398223,34222,0.0160522277,,,0.0,0.0,0.002183563,,0.0780431376,0.0006226358,0.3619710247,0.0,0.0,4.44947e-05,,0.0,,0.0,0.6447831276,0.0033799187,0.0409454276,0.0,5.37e-08,0.0002339589,0.0529687488,,0.0154134374,0.0,0.1938700136,0.0,0.0001852163,0.0,0.0003677032,7.78e-08,4.5586e-06,0.0,23.3934088449,1.87043e-05,0.0,1.8108e-06,0.0014525419,,0.0002630303,0.0,7.16e-08,0.0,,,,0.0008939969,0.0,0.0120763483,7.905e-07,,,0.0488001875,0.0002560032,,0.0,8.55e-08,0.0079048846,0.0,,0.0027177911,5.33439e-05,,,,,0.0056769936,0.1042343398,0.0,,,0.0,,,,,,1.4665e-06,5.87e-08,0.0,0.0,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,,,1.0761768766,,,,,,,0.0096732662,,0.0,,0.0,,,,,,0.0,5.5503e-06,,0.0,,0.0013655671,,,0.0,,,,,,,5.8563e-06,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32e-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
