pokemon,number_of_battles,Raw count,Items_petayaberry,Items_chopleberry,Items_scopelens,Items_mentalherb,Items_rockyhelmet,Items_magoberry,Items_beastball,Items_figyberry,Items_nothing,Items_blukberry,Items_brightpowder,Items_razorclaw,Items_toxicorb,Items_dragonfang,Items_wikiberry,Items_spelltag,Items_chestoberry,Items_electricseed,Items_airballoon,Items_focusband,Items_flameorb,Items_lifeorb,Items_expertbelt,Items_aguavberry,Items_absorbbulb,Items_ironball,Items_weaknesspolicy,Items_kingsrock,Items_sitrusberry,Items_damprock,Items_heavydutyboots,Items_powerherb,Items_choicespecs,Items_widelens,Items_leftovers,Items_choicescarf,Items_quickclaw,Items_laggingtail,Items_wiseglasses,Items_focussash,Items_assaultvest,Items_enigmaberry,Items_silkscarf,Items_eviolite,Items_keeberry,Items_leppaberry,Items_ringtarget,Items_ejectbutton,Items_metronome,Items_twistedspoon,Items_roomservice,Items_blunderpolicy,Items_fullincense,Items_magnet,Items_choiceband,Items_lumberry,Items_iapapaberry,Items_cellbattery,Items_throatspray,Items_adrenalineorb,Items_custapberry,Items_salacberry,Items_normalgem,Items_wacanberry,Items_psychicseed,Items_blacksludge,Items_oranberry,Items_blackbelt,Items_colburberry,Items_flyingmemory,Items_apicotberry,Items_shedshell,Items_grassyseed,Items_sharpbeak,Items_chartiberry,Items_blackglasses,Items_stickybarb,Items_muscleband,Items_ganlonberry,Items_rockincense,Items_ejectpack,Items_heatrock,Items_leek,Items_heavyball,Items_persimberry,Items_mistyseed,Items_redcard,Items_berryjuice,Items_metalcoat,Items_whiteherb,Items_marangaberry,Items_liechiberry,Items_safetygoggles,Items_starfberry,Items_roseliberry,Items_shellbell,Items_shucaberry,Items_lightclay,Items_terrainextender,Items_kasibberry,Items_icyrock,Items_machobrace,Items_mysticwater,Items_powerlens,Items_steelmemory,Items_zoomlens,Items_smoothrock,Items_occaberry,Items_laxincense,Items_silverpowder,Items_burndrive,Items_ultraball,Items_firestone,Items_passhoberry,Items_firememory,Items_luminousmoss,Items_cheriberry,Items_shockdrive,Items_bigroot,Items_charcoal,Items_bottlecap,Items_deepseatooth,Items_bugmemory,Items_pechaberry,Items_miracleseed,Items_utilityumbrella,Items_lansatberry,Items_cobaberry,Items_masterball,Items_poisonbarb,Items_jabocaberry,Items_waveincense,Items_protectivepads,Items_gripclaw,Items_energypowder,Items_lightball,Items_electricmemory,Items_oddincense,Items_floatstone,Items_yacheberry,Items_payapaberry,Items_poisonmemory,Items_pixieplate,Items_tangaberry,Items_chippedpot,Items_dragonmemory,Items_hardstone,Items_groundmemory,Items_fightingmemory,Items_leafstone,Items_rowapberry,Items_rawstberry,Items_powerbracer,Items_deepseascale,Items_softsand,Items_tr95,Items_nevermeltice,Items_icestone,Items_babiriberry,Items_bindingband,Items_seaincense,Items_fastball,Items_snowball,Items_habanberry,Items_kebiaberry,Items_ghostmemory,Items_pokeball,Items_fairymemory,Items_tr09,Items_powerweight,Items_micleberry,Items_roseincense,Items_waterstone,Items_ovalstone,Items_poweranklet,Items_tr93,Items_crackedpot,Items_prismscale,Items_psychicmemory,Items_ribbonsweet,Items_powerband,Items_healball,Items_protector,Items_tr81,Items_levelball,Items_goldbottlecap,Items_whippeddream,Items_darkmemory,Items_upgrade,Items_dragonscale,Items_rarebone,Items_tr98,Items_greatball,Items_rindoberry,Items_tr38,Items_lustrousorb,Items_rockmemory,Items_souldew,Items_rustedsword,Items_tartapple,Items_powerbelt,Items_aspearberry,Items_tr51,Items_tamatoberry,Items_grassmemory,Items_adamantorb,Items_tr65,Items_watermemory,Items_quickball,Items_quickpowder,Items_metalpowder,Items_duskball,Items_thickclub,Items_chilanberry,Items_grepaberry,Items_tr67,Items_fossilizedbird,Items_tr00,Items_tr15,Items_tr66,Items_cloversweet,Items_thunderstone,Items_sachet,Items_tr43,Items_icememory,Items_rustedshield,Items_tr62,Items_repeatball,Items_electirizer,Items_dreamball,Items_starsweet,Items_cherishball,Items_lovesweet,Items_fossilizedfish,Items_tr11,Items_tr17,Items_tr22,Items_tr57,Items_tr03,Items_tr36,Items_tr44,Items_premierball,Items_shinystone,Items_berrysweet,Items_flowersweet,Items_luxuryball,Items_parkball,Items_moonstone,Items_safariball,Items_qualotberry,Items_timerball,Items_tr20,Items_tr06,Items_galaricacuff,Items_sweetapple,Items_destinyknot,Items_dousedrive,Items_tr24,Items_fossilizeddrake,Items_tr28,Items_griseousorb,Items_magmarizer,Items_diveball,Items_tr85,Items_sportball,Items_tr71,Items_tr69,Items_dawnstone,Items_sunstone,Items_tr47,Items_kelpsyberry,Items_tr91,Items_tr31,Items_tr29,Items_tr89,Items_tr60,Items_pomegberry,Items_nestball,Items_tr53,Items_pinapberry,Items_tr94,Items_moonball,Items_netball,Items_tr46,Items_chilldrive,Items_duskstone,Items_reapercloth,Items_hondewberry,Items_loveball
Porygon-Z,1345731,30661,0.0189708114,0.0002944781,0.0161443912,0.0,0.0037690189,0.0,0.0,0.0019300288,0.0019548445,0.0,0.0,9.47e-07,0.0023424301,0.0,0.0007547318,1e-10,0.0,0.0,0.0,0.0,3.78429e-05,0.2210136751,0.0240880303,0.0041289972,0.0,1.024e-07,1.867e-07,0.0,0.000189435,0.0,4.21712e-05,2.87399e-05,6.0872939553,2e-10,0.3967267034,0.2808130575,0.0072703594,0.0,0.0046434471,0.0972953947,0.0064185212,0.0,0.20947246,1e-10,0.0,0.0,2e-10,0.0,0.0007774426,0.0,0.0071288728,1.7862795544,0.0,0.0,9.37189e-05,0.0,0.0053268696,0.0,0.0,0.0,0.0,0.0002659564,0.035372209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandibuzz,1345731,185993,0.0,0.0003352203,3e-09,0.0,5.657995291,3.3e-09,,0.0002677876,0.0211553578,,4.57962e-05,,0.0,,0.0,,8e-08,0.0,,,0.0,0.0251125278,0.0067061309,0.001579478,,,0.1179401239,0.0,0.0833276002,,462.7777109685,7.484e-07,1.207e-07,8.0705e-06,1.6701180076,5.02927e-05,0.0,0.0,0.0,0.0039025941,0.0684216587,,,0.0,,1.1e-09,,3.4082e-06,0.0001064256,,,,,,0.0051192368,0.0071394661,4.70789e-05,,0.0,,,0.0,,2.77e-06,0.0,0.0,0.0,0.0,0.0,5.1e-09,0.0,0.0,2.1967e-06,0.0018819636,0.0,0.0023892486,0.0,0.0,0.0,0.0,0.0,0.0033723583,0.0,0.0,4.7937e-06,0.0001389323,6.1161e-06,0.0,0.0,0.0001926886,0.0,1.8e-09,1.97023e-05,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronzong,1345731,10620,,,,0.1681173259,0.0141558293,,,0.0001054255,0.0009297774,,0.0004698654,,1.31011e-05,,0.0,,0.0008202622,,2.11e-08,,2.6887e-06,0.0009147706,0.000193967,0.0001363912,,7.9679e-06,0.0083192644,,3.176e-07,0.0056009273,5.2078e-06,0.0001509385,0.0001771864,0.0,2.4228375698,5.102e-07,1e-10,0.0038168926,,1.2730473786,0.0002505239,,4.73953e-05,,,,1.1558e-06,,,1.6e-09,0.0003701887,0.0,,,1.38372e-05,0.0005413084,0.0,,0.0,,0.0,0.0,0.0046597861,,0.0,9.10512e-05,,,0.2624828568,,,1.35e-08,,,,,0.0,,,,,0.0,,,,,1.67e-08,,1.3441e-06,0.0,,,8.1e-09,,,0.0,0.000211152,0.0112647038,0.0,0.0,0.0,0.0004033269,0.0,0.0,1e-10,0.0,0.0,2e-10,0.0001045022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcarona,1345731,352838,1.275e-07,,0.0,3.0948e-06,0.0595492027,0.0015224488,,0.0016231477,0.2825955038,,5.05623e-05,1.38843e-05,,,0.0589020875,,0.4213028834,0.0796804651,0.0402214056,0.0,2.93335e-05,3.9365157916,0.0631403991,0.1208525688,0.1414040909,9.77546e-05,0.242185499,0.1094821632,0.3161616598,,466.1091675601,7.98673e-05,0.1192100167,0.0054886778,7.4636648506,0.0576884081,7.66534e-05,,0.0135645147,1.6694343299,0.0332135145,0.0,,0.0004114029,0.1827862291,1.60628e-05,,0.0,0.0002182103,1.5353e-06,,0.0003607357,0.0,,4.518e-07,0.5226347882,0.0193107524,,0.0686564237,,,0.0054930644,,,7.7992e-06,0.0,0.0,0.0,0.0,,,0.0,4.68e-08,,0.0100952979,0.0,0.0,5.1498e-06,0.0106086802,,0.0,0.0005069423,4e-10,0.0,,0.0,1.874258802,0.0,,0.0,1.1e-09,,2.59924e-05,0.0003223689,,0.0019585679,,,,,,,,,,0.0,,0.0,0.0,0.0010798768,1.54971e-05,0.0,3.2341e-06,0.1465459299,0.0,0.0,0.0132360162,0.0,0.0175248028,0.0177135687,0.0,0.0,0.0,0.0010085027,0.0,0.0003182994,3.143e-06,0.0078966555,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelgor,1345731,12821,0.0,,0.0,0.0067818764,6.773e-06,0.0,,,7.94239e-05,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,3.0684e-06,0.0006444449,0.0079335906,0.0,,0.0002470248,0.0,5.03e-08,0.0009289652,0.010008137,0.0,0.0327388487,,0.011907708,0.0451671132,0.0,,0.0,0.8325199174,0.0166322031,,,0.0,0.0,,,2.94695e-05,0.0,,,0.0,,,0.0,7.17e-08,0.0,,0.2412559297,,,4.531e-05,0.0,,1.78668e-05,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,8.23e-08,0.0,,0.0,,0.0,,,,,,,,,,,0.0,,,,1e-10,0.0001129348,,,,,,,,,,,2.8426e-05,,,,8e-09,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raichu-Alola,1345731,15245,0.0,,0.0,0.0,5.62006e-05,0.0001437977,,0.0002529633,3.36e-08,,0.0,,0.0,,1e-10,,0.0,0.0049297329,0.0227043735,,,6.0937232467,0.3313512782,0.0009581402,,,0.0,,0.0033979915,,0.0340434384,1e-10,0.6517297493,0.0,0.0018686854,0.0001641422,2.6153e-06,,2.3092e-06,0.380883293,0.0002298258,,,0.0,,,,,2.349e-07,0.000120802,,0.004675127,,0.3121741795,4.09904e-05,0.0,6.2e-08,0.0001315955,0.0,0.0002463219,,0.0,,,,,0.0,,4e-10,,,,0.0,,,3e-10,,,,,,,,,,,0.0756443074,1.22e-08,0.0,,,,0.0,,,0.0,0.0,0.0,4.4755e-06,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,1e-10,1.93329e-05,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thundurus,1345731,9631,,,,0.0405765036,0.0004121297,0.0,,0.0,0.0001183629,,0.0,,,,5.76e-08,,6.57e-08,1.07354e-05,,,3.516e-07,0.2671634667,0.0035851125,0.000533761,,0.0,7.20905e-05,,0.0021054584,0.0001526263,0.9163155078,0.0055270065,0.0311571687,6.93662e-05,2.2550490838,3.661e-07,0.0,0.0,1.39639e-05,0.0288523283,0.0001806161,,,7.107e-07,,,0.0,0.0,,,,1.81728e-05,,3.41948e-05,0.0343470983,2.40464e-05,0.0038287941,0.0,,0.0087630815,0.0,0.0098427852,,0.0,,,,,,,,,,0.0,0.0010291649,,,6.49e-07,,,,,,,,,0.0,,,,,0.0,,,,3.451e-07,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxicroak,1345731,12964,0.0,,0.0,,0.0,6.5109e-06,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,5.27582e-05,0.0,,1.002058931,0.0054548836,0.0,,,1.13511e-05,0.0,0.0,4.03e-08,0.0,,0.0232802783,2.16526e-05,0.0183634984,0.0011179977,1.4e-09,,,0.0562752665,0.0085352433,,,0.0,,,,,,,,2.4e-08,,,0.200994737,1.4e-09,2.01429e-05,,,0.0005298079,,1.93438e-05,,,0.0,0.9747945685,,0.0001854301,,,0.0,,,,,0.0,0.0,0.0003852364,,,,,,,,,,,,,,0.0,0.0,,,0.0012743742,0.0230570514,,,,,,,,,0.0,,,0.0037206675,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,9.888e-07,,,,,,0.0,,,,,6.8e-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiritomb,1345731,8920,4.1214e-06,,,0.0,0.0002709544,4.065e-06,,0.0111172369,0.0005386473,,0.0,,0.0,,2.4e-09,0.0,0.2565898966,,0.0,,0.0095067849,0.0088219549,1e-10,0.0090817379,,0.0,0.0,0.0,0.0002268975,,3.48878e-05,5.4e-09,0.0008999906,1.04093e-05,0.2778187113,2.27315e-05,3.55489e-05,0.0,0.0,0.0026349598,0.0009074327,,,0.0,3.3472e-06,,0.0,,,,,0.0,,,0.1645240709,0.0328306704,0.0,,0.0,,0.025381319,4.2e-08,,,0.0,0.0,,,,,,,,,,0.0002206459,0.0,,,,,,,,,,8.181e-07,1.4e-09,,,,,,,0.001718091,0.0,,,,,,,,,,6.39423e-05,,,,,,,,,,,,,,,,,,1.27e-08,,,,,,,,,,2.046e-07,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liepard,1345731,5320,0.0,0.0,,1.12505e-05,0.0,1.1e-09,,,0.0,,0.0,4.98352e-05,0.0,,2.7e-09,,,0.0,0.0,0.0,1.73818e-05,0.0013913587,0.0,0.0,,0.0,0.2483166001,7.25779e-05,2.931e-07,0.0002246918,5.74775e-05,,4.5076e-06,0.0,0.0598830127,0.0030915295,,0.0016267057,0.0,0.0287013791,0.0,,,,,0.0,0.0001577358,0.447349804,3.7701e-06,,,,,,0.0002048252,,1e-10,,0.1352736184,,,0.0,2.8978e-06,,0.0,5.04e-08,,0.0,,,,,2.438e-07,0.0,0.0,0.0006129513,0.0,,,,,0.0126804411,,,,1.66648e-05,0.0020144304,,,0.0,,0.0,,,,,1.34104e-05,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
