pokemon,number_of_battles,Raw count,Items_scopelens,Items_chopleberry,Items_rockmemory,Items_petayaberry,Items_mentalherb,Items_pechaberry,Items_rockyhelmet,Items_ironball,Items_figyberry,Items_focussash,Items_oranberry,Items_pixieplate,Items_toxicorb,Items_absorbbulb,Items_wikiberry,Items_spelltag,Items_widelens,Items_dragonmemory,Items_chestoberry,Items_grassyseed,Items_airballoon,Items_assaultvest,Items_lifeorb,Items_blackglasses,Items_expertbelt,Items_aguavberry,Items_adrenalineorb,Items_weaknesspolicy,Items_sitrusberry,Items_damprock,Items_heavydutyboots,Items_blukberry,Items_choicespecs,Items_oddincense,Items_razorclaw,Items_leftovers,Items_choicescarf,Items_redcard,Items_quickclaw,Items_laggingtail,Items_wiseglasses,Items_nothing,Items_enigmaberry,Items_silkscarf,Items_eviolite,Items_leppaberry,Items_ejectbutton,Items_metronome,Items_zoomlens,Items_powerherb,Items_roomservice,Items_blunderpolicy,Items_laxincense,Items_magnet,Items_choiceband,Items_lumberry,Items_iapapaberry,Items_flameorb,Items_throatspray,Items_brightpowder,Items_shellbell,Items_powerlens,Items_salacberry,Items_normalgem,Items_wacanberry,Items_safetygoggles,Items_psychicseed,Items_charcoal,Items_yacheberry,Items_magoberry,Items_ovalstone,Items_keeberry,Items_electricseed,Items_protectivepads,Items_muscleband,Items_shockdrive,Items_roseliberry,Items_heatrock,Items_kingsrock,Items_leek,Items_sharpbeak,Items_heavyball,Items_mistyseed,Items_darkmemory,Items_whiteherb,Items_marangaberry,Items_fullincense,Items_healball,Items_chartiberry,Items_custapberry,Items_blacksludge,Items_payapaberry,Items_poisonbarb,Items_blackbelt,Items_focusband,Items_shucaberry,Items_metalcoat,Items_lightclay,Items_tr25,Items_colburberry,Items_apicotberry,Items_terrainextender,Items_stickybarb,Items_kasibberry,Items_machobrace,Items_luminousmoss,Items_ringtarget,Items_masterball,Items_smoothrock,Items_occaberry,Items_starfberry,Items_silverpowder,Items_hondewberry,Items_berryjuice,Items_twistedspoon,Items_firestone,Items_passhoberry,Items_firememory,Items_cheriberry,Items_bindingband,Items_ejectpack,Items_rowapberry,Items_bigroot,Items_bugmemory,Items_miracleseed,Items_hardstone,Items_ganlonberry,Items_utilityumbrella,Items_lansatberry,Items_babiriberry,Items_cobaberry,Items_liechiberry,Items_energypowder,Items_lightball,Items_electricmemory,Items_gripclaw,Items_electirizer,Items_mysticwater,Items_souldew,Items_fightingmemory,Items_nevermeltice,Items_poisonmemory,Items_poweranklet,Items_beastball,Items_flyingmemory,Items_rockincense,Items_dragonfang,Items_grepaberry,Items_rawstberry,Items_snowball,Items_watermemory,Items_softsand,Items_shedshell,Items_aspearberry,Items_grassmemory,Items_tr24,Items_greatball,Items_cellbattery,Items_ghostmemory,Items_fossilizedbird,Items_rindoberry,Items_seaincense,Items_waveincense,Items_floatstone,Items_jabocaberry,Items_fairymemory,Items_powerweight,Items_habanberry,Items_adamantorb,Items_steelmemory,Items_tangaberry,Items_magmarizer,Items_icyrock,Items_kebiaberry,Items_duskstone,Items_destinyknot,Items_flowersweet,Items_psychicmemory,Items_quickpowder,Items_levelball,Items_micleberry,Items_protector,Items_powerbelt,Items_powerbracer,Items_upgrade,Items_dragonscale,Items_fossilizeddrake,Items_pokeball,Items_parkball,Items_ultraball,Items_groundmemory,Items_persimberry,Items_rustedsword,Items_bottlecap,Items_galaricacuff,Items_ribbonsweet,Items_goldbottlecap,Items_berrysweet,Items_rarebone,Items_leafstone,Items_rustedshield,Items_roseincense,Items_icememory,Items_sweetapple,Items_tr64,Items_prismscale,Items_metalpowder,Items_chilanberry,Items_diveball,Items_thickclub,Items_pinapberry,Items_whippeddream,Items_deepseascale,Items_shinystone,Items_duskball,Items_fastball,Items_chippedpot,Items_tr43,Items_dreamball,Items_kelpsyberry,Items_icestone,Items_tr71,Items_lustrousorb,Items_premierball,Items_luxuryball,Items_tr78,Items_tr16,Items_netball,Items_sunstone,Items_tamatoberry,Items_powerband,Items_cherishball,Items_repeatball,Items_waterstone,Items_pomegberry,Items_dubiousdisc,Items_tr98,Items_tr69,Items_tr10,Items_deepseatooth,Items_quickball,Items_fossilizedfish,Items_griseousorb,Items_burndrive,Items_loveball,Items_starsweet,Items_tartapple,Items_lovesweet,Items_thunderstone,Items_chilldrive,Items_tr00,Items_reapercloth,Items_tr89,Items_tr99,Items_sachet,Items_qualotberry,Items_crackedpot,Items_tr88,Items_tr53,Items_tr15,Items_dawnstone,Items_tr02,Items_safariball,Items_tr08,Items_tr01,Items_tr32,Items_tr19,Items_tr46,Items_tr42,Items_sportball,Items_tr55,Items_dousedrive,Items_tr75
Porygon-Z,1336739,26122,0.0,1.6583e-06,0.0,0.0,0.0,0.0,5.06716e-05,0.0002651946,3.358e-07,0.0178548505,0.0,0.0,0.0,0.0,0.0005079893,0.0,1.559e-07,0.0,3.306e-07,0.0,0.0,0.0297360592,0.0875257346,0.0,0.0028244393,0.0445202427,2.91e-08,0.0,4.07e-08,7e-10,0.0003367572,0.0,14.5727664666,0.0002431247,8e-10,0.0162583824,1.0927617597,0.0,0.0,0.0,0.0062035035,4.6582e-06,0.0,0.0020081354,0.0,0.0,0.0,0.0772779576,0.0,5.5032e-06,4.889e-07,1.2459106111,5.199e-07,0.0055168304,2.42487e-05,2.5047e-06,0.0,0.0,0.0,0.0,0.0,1.2914e-06,0.0004968776,2.7857e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandibuzz,1336739,165990,,2.58e-08,,0.0,0.0006145987,,6.1297698351,,7e-10,0.0044534388,,,5.2382e-06,,0.0001600422,0.0,6.77864e-05,0.0,,,0.0,0.0048189478,0.027252538,0.0009684577,0.0011646792,0.0046579818,,0.3270275527,0.0096320589,0.0082265929,261.6697957846,,1.065e-07,,,2.8091345466,5.636e-07,0.0103595039,0.0004093643,0.0,0.0,0.0118885133,,,2.6163e-06,0.0,0.0,0.000984332,,,0.0,0.0,,,0.0275629732,4.6832e-06,0.0051837747,0.0,,0.0175308459,2e-10,,0.0,,0.0035791198,2.41357e-05,0.0,0.0,5e-10,0.0,1.63332e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.2410943676,1.135e-06,0.0,0.002893972,5.779e-07,0.0,0.0,0.0057355132,1.53472e-05,0.0,0.0,0.0145667123,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weezing,1336739,4996,,,,,,,0.086328529,,,0.0002007897,,,,,0.0,,0.0,,,,0.0,0.0005435786,0.0011484261,0.0,0.0004835718,3.09842e-05,,0.0027434602,0.0,,1.83183e-05,,0.0,,,0.0016075974,0.0,3.2045e-06,0.0003859935,,,3.45845e-05,,,0.0,,,,,,,0.0,,,8.07703e-05,,0.0,,,3.462e-06,,,,3.83e-08,,,,,,,,,6.81e-08,,,,,0.0,0.0,,,,,,,,,,,8.72479e-05,1.51596358,0.0001635286,3.53e-08,9.297e-06,1.71e-06,0.0004116735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronzong,1336739,15661,0.0,,,,0.0758328026,,0.0800107248,6.6374e-06,0.0,0.1457349803,,,3.224e-07,,,,,,0.0,0.0,3.391e-07,0.016642227,1.5506e-06,,0.000108384,0.0005766203,,0.0007231664,0.0004694075,0.0043841832,0.0190850513,,3.038e-07,,0.0,16.3792087296,1.443e-07,0.0010218596,0.0001033484,9.185e-07,0.0,0.0502153751,,0.0017549833,0.0,5.3599535596,4e-10,0.0,0.0,0.0077402241,0.0,,,,9.438e-07,1.2757e-06,0.0,,,,0.0,,,0.0123018416,,,,,,0.0005868714,,4.19562e-05,,,,,,5.7e-09,0.0,,,,,,,,0.0,,,2.64e-08,0.0,,,,,0.000390122,8.9e-08,0.0291412082,0.0,0.0391878481,0.0,7.1717e-06,8.6e-09,0.0,0.0058735945,0.0,7.8072e-06,0.0,0.0,0.0233430172,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcarona,1336739,366828,5.87126e-05,0.0,,2.568e-07,0.0161010258,7.50009e-05,0.0308546684,,0.0008450201,5.3892894541,,,0.0,0.0115885014,0.0409727373,,9.11805e-05,,0.2308334946,0.0086329882,0.0071025916,0.1226239122,6.7079126342,0.0,0.0837123066,0.0263578501,0.0,0.0742013457,0.1879894663,0.0,686.8728032867,,0.174802362,,1e-10,4.8204943628,0.0347093402,2.2476672588,6.11088e-05,,0.0034482106,0.019080531,,,0.0081092349,0.0001311797,0.0001539373,0.0001045839,2.48397e-05,5.91768e-05,,0.0009945853,2.37e-08,,0.006816967,1.3204531343,0.0019408752,0.0024654029,0.0171612839,0.0060832644,0.0001045203,,1.77011e-05,,,0.0076302349,0.0,0.0624092785,,1.03563e-05,,0.1798522234,0.002063294,1.66e-07,0.0,,,4.42764e-05,0.0,,2.08112e-05,0.0,5.31765e-05,,2.43238e-05,,0.0,,0.0894659155,1.73e-08,,,,2.93563e-05,5.95012e-05,3.40405e-05,,,,,0.0,,0.0,8.079e-07,,0.0,,0.0,,,,0.0044751197,6.0949e-06,0.0,0.0007471763,0.0,0.0010417052,6.6549e-06,0.0,0.0,0.0011889024,0.0,0.0034808449,1.206e-07,3e-10,1.8432e-06,0.059640227,0.00022316,5.73e-07,0.0,0.1524245692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelgor,1336739,10692,,,,0.0004888665,2.34449e-05,,9.13193e-05,,0.0,1.445386087,,,,,0.0,,4.7e-09,,0.0,8.4248e-06,,0.0001031501,0.0006836381,0.0,5.864e-06,0.0016734178,,0.0021732723,2.22e-08,0.0004934801,0.0591353488,,0.053873791,,,0.0015888045,0.1456983684,0.0,0.0001249107,,0.0,4.80942e-05,,,0.0,,3.9e-09,0.0,,0.0,,0.0,,,0.0,0.0023627274,0.0,,0.0443408445,,0.0,,,0.0,,,0.0004221437,,,,,,0.0,0.0,,,,,0.0018632035,,,,0.0,,6.262e-07,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,1e-10,,0.0,,1e-10,,,0.0,,,,,,3.8e-09,,,,,,,,3e-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raichu-Alola,1336739,15396,,,,5.46556e-05,,,1.176e-07,,8.7e-09,0.3340392807,0.0,0.0,,0.0,,,,,,,0.0156727747,0.0003458502,4.4785884611,,0.0058686269,0.0006538456,0.0001802624,0.0027788341,6.23e-08,,0.0060979182,,2.1206160185,,0.0001004513,0.0223942021,8.24474e-05,,3.80625e-05,,5.43e-08,5.56877e-05,,,,,0.0,0.0125622211,0.0,,,4.26792e-05,0.0,0.0429990161,6.92e-08,,3.937e-07,,7.81e-08,0.0,0.0,,8.054e-06,0.0,,,0.0,,,0.0,,,0.0043804937,,,,,,2.98228e-05,,,,,,0.0001381431,,,,0.0,,,,,,0.0002764226,9.2245e-06,,0.0043187616,,0.0,0.0,0.0009764507,,8.74e-08,,,,,,0.0,,,,0.0,1.14205e-05,,,,,,,,0.0,,0.0,,2.0877e-06,,,,,,0.0,0.0,3.963e-07,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thundurus,1336739,8891,,,,0.0,2.81178e-05,,1.6447e-06,,0.0108274838,0.0098554482,,,,,0.0,,0.789750038,,0.0,,0.0,0.0022802658,0.5281892753,,0.0009480062,1.70451e-05,0.0,3.945e-06,0.0233494541,0.1860379574,4.6024887818,,0.0574905114,,,0.3237252236,0.0008879247,1.52734e-05,4.917e-06,,0.0004020683,0.0099122676,,,8.318e-07,,0.0,1e-10,,9.76085e-05,,0.0,,1.13429e-05,0.0085674649,0.0,0.0006107477,,,6.83591e-05,2.682e-07,,0.0,,0.0,0.0002918361,,,0.0,0.0,,,0.0,1.3843e-06,,,,,0.0,,0.0,,,,,1.9e-09,,,2.715e-07,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,1.373e-07,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxicroak,1336739,15264,1.9e-09,,,,,,0.0004277072,,0.0,0.0592376949,,,0.0,,0.0,,1.4e-09,,0.0106501781,0.0,0.008718994,0.0134889963,2.5517489259,1e-09,0.0009027947,3e-10,0.0,0.000987619,9.85e-08,,0.0722021127,0.0,3.54e-08,,0.0,0.1517454795,0.0094478814,,2.5968e-06,,,7.70983e-05,,,8.02e-08,,9e-10,0.0,,,0.0,1.9016e-06,4.36613e-05,,0.0491071836,0.0,3.742e-07,,,8.37557e-05,0.0,,3.79e-08,,,0.0,,0.0,,8.28385e-05,,,,1.9488e-05,5.1237e-06,,,,2.5199e-06,,,,,,,,,,,,0.6287207653,0.000408808,2.07159e-05,1.37181e-05,0.0,0.0027223651,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trubbish,1336739,141,,,,,,,,,,1.22112e-05,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,3.48582e-05,,,0.8840114243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
