pokemon,number_of_battles,Raw count,usage,Viability Ceiling
Porygon-Z,1345731,30661,0.0013476,"[2181, 86, 75, 60]"
Mandibuzz,1345731,185993,0.0688366,"[11788, 89, 81, 64]"
Bronzong,1345731,10620,0.0006173,"[1039, 81, 74, 59]"
Volcarona,1345731,352838,0.0706112,"[19752, 88, 79, 61]"
Accelgor,1345731,12821,0.0001767,"[799, 77, 75, 55]"
Raichu-Alola,1345731,15245,0.0011582,"[1380, 86, 74, 57]"
Thundurus,1345731,9631,0.0005291,"[834, 83, 76, 57]"
Toxicroak,1345731,12964,0.0003231,"[917, 80, 73, 55]"
Spiritomb,1345731,8920,0.0001109,"[761, 75, 66, 54]"
Liepard,1345731,5320,0.000134,"[424, 75, 69, 54]"
Archeops,1345731,7376,0.0001354,"[633, 81, 71, 55]"
Snorlax,1345731,36343,0.0031178,"[2835, 87, 77, 55]"
Uxie,1345731,7352,0.0001925,"[552, 80, 75, 58]"
Vanilluxe,1345731,6736,0.0001265,"[592, 80, 73, 58]"
Barraskewda,1345731,84409,0.0109221,"[5491, 87, 78, 61]"
Mimikyu,1345731,44082,0.0008418,"[3089, 83, 71, 55]"
Lurantis,1345731,7837,0.0001362,"[604, 74, 69, 55]"
Machamp,1345731,11481,0.0002167,"[946, 81, 72, 55]"
Coalossal,1345731,5368,0.0001703,"[574, 80, 71, 54]"
Tornadus,1345731,4253,0.0001031,"[378, 76, 72, 58]"
Cresselia,1345731,16003,0.0063659,"[1220, 88, 81, 64]"
Xurkitree,1345731,15000,0.0007497,"[1329, 86, 71, 58]"
Mew,1345731,98380,0.0588839,"[6061, 91, 81, 62]"
Blaziken,1345731,151216,0.0159839,"[9139, 87, 75, 58]"
Diggersby,1345731,17857,0.0032066,"[1318, 87, 81, 62]"
Weezing-Galar,1345731,16602,0.0056324,"[1300, 87, 81, 58]"
Articuno-Galar,1345731,8515,0.0001838,"[749, 78, 72, 55]"
Absol,1345731,6135,0.0001159,"[617, 80, 67, 53]"
Garchomp,1345731,453237,0.1707461,"[25648, 89, 80, 62]"
Slurpuff,1345731,21784,0.0015538,"[1417, 85, 73, 57]"
Ferrothorn,1345731,458264,0.1927523,"[24852, 91, 80, 61]"
Krookodile,1345731,43454,0.0017105,"[3397, 86, 73, 57]"
Zapdos-Galar,1345731,106788,0.0309518,"[6848, 89, 80, 63]"
Kommo-o,1345731,61901,0.0191332,"[4012, 89, 81, 61]"
Darmanitan,1345731,43122,0.0016892,"[3001, 87, 74, 59]"
Milotic,1345731,36664,0.000672,"[2400, 82, 71, 55]"
Ditto,1345731,47514,0.0098025,"[3455, 85, 78, 60]"
Flygon,1345731,12655,0.0021679,"[1070, 84, 73, 55]"
Marowak-Alola,1345731,40298,0.0054933,"[2656, 87, 79, 61]"
Toxapex,1345731,289714,0.1464097,"[18992, 90, 81, 61]"
Dhelmise,1345731,8957,0.0002408,"[698, 77, 74, 58]"
Latias,1345731,34909,0.0140141,"[2665, 87, 81, 62]"
Landorus-Therian,1345731,787181,0.5165893,"[34733, 91, 81, 64]"
Lapras,1345731,10334,0.0001,"[896, 82, 68, 53]"
Bisharp,1345731,268450,0.1241353,"[16043, 89, 81, 62]"
Toxtricity,1345731,30882,0.0065552,"[2306, 89, 78, 57]"
Kyurem,1345731,230477,0.1116976,"[13595, 90, 81, 64]"
Lucario,1345731,36498,0.0002701,"[3068, 79, 68, 54]"
Sirfetch'd,1345731,13577,0.000469,"[1181, 84, 73, 57]"
Regidrago,1345731,15963,0.0006328,"[1438, 88, 74, 56]"
Aurorus,1345731,7831,0.0009524,"[652, 87, 74, 57]"
Mantine,1345731,12258,0.0014344,"[890, 85, 76, 58]"
Nidoqueen,1345731,9122,0.0008988,"[770, 86, 77, 59]"
Cinccino,1345731,11552,0.0001681,"[847, 79, 66, 53]"
Altaria,1345731,7526,0.0012443,"[663, 83, 75, 58]"
Sharpedo,1345731,9191,0.0002988,"[765, 79, 71, 55]"
Doublade,1345731,4225,0.0001376,"[452, 75, 70, 55]"
Scolipede,1345731,19100,0.0013804,"[1463, 87, 75, 56]"
Aggron,1345731,13699,0.0001423,"[1204, 82, 68, 54]"
Slowbro,1345731,181449,0.0706831,"[11672, 90, 80, 63]"
Heliolisk,1345731,12936,0.0002004,"[1091, 81, 70, 55]"
Arcanine,1345731,27319,0.0004005,"[2086, 81, 69, 55]"
Omastar,1345731,10431,0.0043127,"[778, 88, 84, 60]"
Corsola-Galar,1345731,19059,0.0002796,"[1435, 81, 68, 55]"
Pyukumuku,1345731,14409,0.0016986,"[980, 85, 76, 58]"
Victini,1345731,101063,0.058927,"[6166, 90, 82, 63]"
Cofagrigus,1345731,8148,0.0001712,"[626, 73, 69, 56]"
Venusaur,1345731,70909,0.0082019,"[5102, 87, 77, 59]"
Magnezone,1345731,156707,0.1013846,"[11177, 90, 82, 64]"
Volcanion,1345731,35313,0.0049059,"[2490, 87, 78, 60]"
Rhyperior,1345731,25804,0.0055958,"[2231, 88, 77, 58]"
Latios,1345731,81866,0.0181007,"[5470, 89, 79, 62]"
Durant,1345731,7286,0.0001341,"[656, 84, 70, 54]"
Tapu Bulu,1345731,29189,0.0150327,"[2251, 88, 82, 63]"
Incineroar,1345731,36793,0.0046708,"[2940, 90, 75, 55]"
Moltres-Galar,1345731,33715,0.0196466,"[2406, 88, 83, 60]"
Araquanid,1345731,21086,0.0006046,"[1315, 79, 73, 58]"
Moltres,1345731,53472,0.0098694,"[3499, 87, 79, 63]"
Cloyster,1345731,91259,0.0201219,"[5296, 87, 80, 60]"
Tauros,1345731,10866,0.0005262,"[889, 81, 73, 58]"
Klefki,1345731,22493,0.0014508,"[1600, 86, 74, 58]"
Togekiss,1345731,69881,0.0039503,"[5115, 86, 74, 57]"
Dracozolt,1345731,73473,0.0193368,"[5160, 89, 79, 62]"
Salamence,1345731,50490,0.0024595,"[3585, 85, 74, 57]"
Arctozolt,1345731,20317,0.0078356,"[1338, 90, 82, 63]"
Metagross,1345731,35528,0.0008648,"[2955, 81, 70, 55]"
Haxorus,1345731,27955,0.0031751,"[2294, 88, 77, 57]"
Vikavolt,1345731,8735,0.0002461,"[655, 78, 76, 57]"
Hitmonlee,1345731,11108,0.0001114,"[807, 75, 69, 55]"
Glaceon,1345731,4127,0.0002063,"[427, 79, 66, 52]"
Leafeon,1345731,6104,0.0001376,"[655, 86, 71, 53]"
Wigglytuff,1345731,6119,0.0003192,"[394, 81, 72, 57]"
Porygon2,1345731,39384,0.0045592,"[2630, 87, 78, 61]"
Melmetal,1345731,225573,0.0905579,"[14035, 89, 81, 63]"
Crawdaunt,1345731,61947,0.0294377,"[4059, 90, 81, 64]"
Crobat,1345731,18097,0.0002002,"[1573, 79, 67, 53]"
Mamoswine,1345731,86138,0.0138745,"[5169, 87, 79, 63]"
Goodra,1345731,29155,0.0004725,"[1851, 83, 70, 55]"
Druddigon,1345731,13199,0.0005819,"[998, 81, 77, 58]"
Starmie,1345731,21465,0.0022263,"[1706, 83, 76, 59]"
Chansey,1345731,69081,0.0294374,"[4772, 90, 80, 61]"
Celesteela,1345731,53258,0.0054116,"[3294, 87, 79, 61]"
Hippowdon,1345731,119697,0.0801601,"[8927, 90, 82, 62]"
Centiskorch,1345731,8070,0.0002024,"[625, 82, 67, 54]"
Duraludon,1345731,6149,0.0001164,"[640, 83, 69, 53]"
Blissey,1345731,249254,0.090084,"[15842, 90, 81, 62]"
Slowbro-Galar,1345731,19036,0.0008306,"[1371, 82, 77, 56]"
Politoed,1345731,15233,0.0004182,"[1308, 79, 73, 56]"
Vespiquen,1345731,2088,0.0001143,"[302, 81, 72, 54]"
Kabutops,1345731,9821,0.0005775,"[711, 84, 73, 58]"
Buzzwole,1345731,65238,0.0539482,"[4178, 90, 83, 63]"
Exploud,1345731,6670,0.0001143,"[504, 79, 74, 58]"
Shiinotic,1345731,3700,0.0001445,"[321, 80, 66, 53]"
Sylveon,1345731,24550,0.0036915,"[1941, 88, 75, 55]"
Decidueye,1345731,9028,0.0001163,"[810, 80, 69, 52]"
Steelix,1345731,12127,0.0004107,"[1041, 85, 74, 55]"
Raboot,1345731,3699,0.0001606,"[221, 82, 76, 58]"
Amoonguss,1345731,43419,0.0130087,"[3470, 88, 81, 60]"
Urshifu-Rapid-Strike,1345731,336994,0.1540595,"[18959, 90, 81, 63]"
Seismitoad,1345731,53852,0.0115394,"[3701, 88, 79, 61]"
Aron,1345731,5617,0.0004801,"[488, 77, 73, 53]"
Lanturn,1345731,7812,0.0001789,"[553, 79, 71, 55]"
Flapple,1345731,3112,0.000103,"[296, 77, 72, 54]"
Blacephalon,1345731,87541,0.0324811,"[5617, 90, 81, 62]"
Rotom-Wash,1345731,105196,0.0477971,"[6925, 90, 81, 62]"
Pelipper,1345731,149497,0.0303244,"[9396, 89, 78, 61]"
Avalugg,1345731,9672,0.0003063,"[706, 82, 76, 58]"
Talonflame,1345731,15567,0.0001871,"[1328, 83, 69, 54]"
Scyther,1345731,8061,0.0001115,"[700, 78, 69, 55]"
Lycanroc,1345731,4613,0.0001927,"[469, 76, 72, 58]"
Umbreon,1345731,52282,0.0072312,"[3467, 87, 77, 59]"
Alakazam,1345731,58301,0.0050812,"[4764, 87, 75, 58]"
Heracross,1345731,15358,0.0008591,"[1303, 84, 75, 56]"
Blastoise,1345731,29574,0.0011795,"[2207, 85, 73, 55]"
Togedemaru,1345731,11422,0.0001728,"[741, 77, 71, 54]"
Pangoro,1345731,5866,0.0003171,"[504, 83, 76, 56]"
Quagsire,1345731,45799,0.0113632,"[3166, 90, 79, 60]"
Jolteon,1345731,18585,0.0002239,"[1567, 74, 68, 54]"
Grapploct,1345731,3329,0.0001382,"[290, 86, 73, 54]"
Dragonite,1345731,244901,0.1238219,"[15883, 91, 81, 61]"
Zarude,1345731,16693,0.0113252,"[1520, 90, 83, 60]"
Gyarados,1345731,55239,0.0031596,"[4259, 84, 72, 57]"
Zygarde-10%,1345731,13307,0.0018625,"[1080, 86, 78, 60]"
Turtonator,1345731,4081,0.0004655,"[382, 85, 74, 54]"
Vaporeon,1345731,17377,0.0007615,"[1392, 83, 73, 57]"
Chandelure,1345731,33865,0.0002838,"[2471, 77, 69, 54]"
Froslass,1345731,11247,0.0004152,"[946, 82, 73, 58]"
Reuniclus,1345731,35065,0.017823,"[2522, 88, 84, 63]"
Ribombee,1345731,25938,0.001717,"[1896, 87, 76, 59]"
Heatran,1345731,449746,0.2122678,"[23991, 91, 81, 63]"
Barbaracle,1345731,4665,0.0005647,"[451, 85, 78, 55]"
Tyrantrum,1345731,9246,0.0025025,"[825, 86, 81, 57]"
Dragapult,1345731,610253,0.2457921,"[32824, 89, 80, 62]"
Terrakion,1345731,34416,0.0105664,"[3063, 88, 80, 62]"
Dubwool,1345731,5711,0.0003167,"[528, 79, 70, 55]"
Gardevoir,1345731,31923,0.0003797,"[2308, 84, 70, 54]"
Regieleki,1345731,193133,0.0186182,"[13168, 88, 75, 59]"
Conkeldurr,1345731,69113,0.0058636,"[5113, 87, 75, 60]"
Slowking,1345731,163586,0.0930726,"[11059, 89, 82, 65]"
Drampa,1345731,3546,0.0007678,"[334, 81, 79, 56]"
Stunfisk,1345731,4720,0.0039454,"[400, 87, 84, 62]"
Audino,1345731,5318,0.0031563,"[418, 84, 82, 58]"
Hawlucha,1345731,195453,0.0436881,"[12046, 88, 79, 61]"
Sandslash-Alola,1345731,10645,0.0013654,"[857, 87, 78, 59]"
Roserade,1345731,16215,0.0002257,"[1426, 79, 69, 55]"
Drapion,1345731,12632,0.0002794,"[1027, 82, 71, 55]"
Braviary,1345731,6116,0.0003016,"[570, 82, 70, 52]"
Torkoal,1345731,67491,0.0086859,"[4529, 87, 77, 61]"
Excadrill,1345731,231050,0.0475611,"[15984, 89, 78, 60]"
Polteageist,1345731,30883,0.0076079,"[1695, 88, 80, 59]"
Bewear,1345731,6599,0.0003275,"[558, 83, 72, 56]"
Comfey,1345731,12500,0.0007425,"[889, 87, 71, 57]"
Grimmsnarl,1345731,71000,0.0043512,"[4940, 86, 75, 58]"
Linoone,1345731,8396,0.0001255,"[759, 76, 69, 53]"
Regigigas,1345731,7649,0.0001231,"[753, 82, 70, 54]"
Arctovish,1345731,10516,0.0007526,"[811, 81, 74, 59]"
Tentacruel,1345731,28277,0.0007191,"[2098, 79, 71, 57]"
Zeraora,1345731,254101,0.1044846,"[15506, 91, 81, 62]"
Gengar,1345731,123117,0.0084889,"[8442, 85, 75, 59]"
Swampert,1345731,211775,0.0389184,"[13545, 88, 79, 61]"
Corviknight,1345731,445301,0.2131246,"[25503, 90, 81, 63]"
Tapu Fini,1345731,211839,0.1632528,"[12464, 91, 82, 63]"
Sableye,1345731,12631,0.0002988,"[993, 79, 69, 55]"
Slowking-Galar,1345731,174664,0.0984657,"[11266, 90, 81, 64]"
Primarina,1345731,40462,0.0130607,"[2938, 89, 79, 60]"
Necrozma,1345731,12552,0.0036807,"[916, 87, 82, 61]"
Golurk,1345731,8854,0.000203,"[738, 78, 74, 57]"
Suicune,1345731,23640,0.0080915,"[1510, 88, 83, 63]"
Indeedee,1345731,9521,0.000122,"[766, 73, 69, 56]"
Scizor,1345731,137715,0.0862759,"[9432, 90, 82, 63]"
Nidoking,1345731,182875,0.039751,"[12344, 88, 79, 61]"
Zapdos,1345731,254474,0.1041081,"[14619, 89, 81, 64]"
Cobalion,1345731,6664,0.0015493,"[604, 87, 81, 58]"
Rillaboom,1345731,430465,0.1549406,"[23808, 91, 80, 63]"
Raikou,1345731,11481,0.0009454,"[927, 85, 77, 58]"
Tapu Lele,1345731,214724,0.1102597,"[12756, 90, 81, 64]"
Gastrodon,1345731,40718,0.016223,"[2828, 89, 82, 61]"
Tapu Koko,1345731,315256,0.121434,"[18240, 91, 81, 63]"
Thundurus-Therian,1345731,44184,0.0055177,"[3089, 86, 79, 61]"
Weavile,1345731,167998,0.1431121,"[10403, 90, 83, 64]"
Glastrier,1345731,13827,0.0036311,"[1108, 87, 81, 61]"
Tornadus-Therian,1345731,167038,0.1156881,"[10987, 90, 83, 64]"
Gigalith,1345731,8698,0.000624,"[711, 82, 75, 56]"
Keldeo,1345731,38465,0.0106637,"[2800, 89, 81, 62]"
Tyranitar,1345731,228961,0.0759175,"[15361, 91, 79, 61]"
Aegislash,1345731,89624,0.0361609,"[6881, 91, 80, 60]"
Electivire,1345731,11795,0.0001023,"[948, 73, 67, 54]"
Noivern,1345731,11786,0.0001832,"[1022, 76, 72, 55]"
Registeel,1345731,10468,0.000821,"[958, 86, 72, 55]"
Cursola,1345731,4689,0.0004096,"[443, 81, 78, 57]"
Xatu,1345731,11271,0.0007801,"[689, 83, 77, 58]"
Nihilego,1345731,31992,0.010259,"[2205, 88, 79, 59]"
Sceptile,1345731,25515,0.0003326,"[2061, 78, 71, 54]"
Charizard,1345731,42939,0.0006419,"[3802, 85, 70, 55]"
Trevenant,1345731,7031,0.0001246,"[630, 80, 70, 54]"
Pikachu,1345731,11434,0.0003973,"[1223, 80, 69, 53]"
Zoroark,1345731,29197,0.0004301,"[2194, 82, 71, 55]"
Salazzle,1345731,29343,0.0052058,"[1971, 86, 74, 56]"
Shuckle,1345731,46973,0.0102752,"[3448, 88, 77, 57]"
Galvantula,1345731,30706,0.0004546,"[2387, 77, 69, 55]"
Abomasnow,1345731,4179,0.0003707,"[517, 87, 75, 55]"
Crustle,1345731,3425,0.0004669,"[316, 85, 73, 54]"
Clefable,1345731,391192,0.2617317,"[22305, 90, 82, 63]"
Jellicent,1345731,7714,0.0002769,"[652, 79, 73, 56]"
Shiftry,1345731,5192,0.000126,"[432, 75, 72, 56]"
Stakataka,1345731,18527,0.0011873,"[1555, 80, 74, 59]"
Mienshao,1345731,15375,0.0004346,"[1321, 82, 72, 59]"
Cryogonal,1345731,5288,0.0004766,"[328, 82, 76, 56]"
Ninetales-Alola,1345731,72460,0.0206248,"[4470, 90, 81, 61]"
Ludicolo,1345731,10680,0.0001687,"[977, 75, 68, 55]"
Clawitzer,1345731,7499,0.0001367,"[571, 79, 74, 57]"
Hatterene,1345731,80152,0.0086867,"[4846, 87, 77, 60]"
Rotom-Heat,1345731,56253,0.0029212,"[4438, 85, 74, 58]"
Escavalier,1345731,4796,0.0001225,"[488, 84, 71, 54]"
Malamar,1345731,12239,0.0002312,"[925, 74, 69, 55]"
Entei,1345731,11717,0.0002579,"[843, 79, 73, 58]"
Tangrowth,1345731,70509,0.0403707,"[5362, 88, 82, 64]"
Lycanroc-Dusk,1345731,28734,0.0025258,"[1998, 86, 75, 58]"
Sandaconda,1345731,13601,0.0002927,"[962, 85, 69, 56]"
Espeon,1345731,29909,0.0026793,"[1997, 84, 75, 55]"
Diancie,1345731,8056,0.0005558,"[669, 83, 76, 55]"
Ninetales,1345731,19305,0.0002416,"[1510, 80, 70, 54]"
Kartana,1345731,313069,0.1353996,"[17486, 90, 81, 62]"
Azumarill,1345731,89954,0.0223842,"[5782, 89, 79, 61]"
Aerodactyl,1345731,11097,0.0002812,"[1052, 82, 73, 55]"
Articuno,1345731,6212,0.0002336,"[535, 81, 70, 54]"
Jirachi,1345731,59275,0.0097157,"[3984, 88, 79, 61]"
Dusclops,1345731,8976,0.0001187,"[804, 74, 67, 54]"
Inteleon,1345731,23539,0.0004661,"[1828, 86, 68, 55]"
Hydreigon,1345731,156248,0.0867452,"[11624, 90, 81, 61]"
Golisopod,1345731,14072,0.0002001,"[1046, 78, 69, 55]"
Shedinja,1345731,21801,0.008617,"[1684, 86, 79, 57]"
Azelf,1345731,26748,0.0016775,"[1948, 84, 74, 60]"
Tsareena,1345731,11120,0.0001508,"[832, 81, 71, 55]"
Skarmory,1345731,139925,0.0591584,"[8884, 88, 82, 62]"
Hitmontop,1345731,7767,0.0003962,"[615, 78, 72, 56]"
Whimsicott,1345731,19210,0.0005841,"[1559, 82, 72, 55]"
Obstagoon,1345731,28087,0.0021387,"[2185, 85, 77, 59]"
Kingdra,1345731,41408,0.0104903,"[2957, 87, 78, 60]"
